Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2006-BLG-001,BLG100.4,158152,17:51:43.96,-29:42:19.5,2453781.185,2006-02-14.69,109.996,0.142,7.089,2.127,0.094,16.723,19.29,267.93316666666664,-29.705416666666665
2006-BLG-002,BLG101.3,114232,17:54:40.83,-29:46:08.9,2453777.275,2006-02-10.78,134.416,0.080,12.579,2.749,0.541,18.583,19.251,268.6701249999999,-29.76913888888889
2006-BLG-003,BLG104.3,108269,17:59:42.72,-29:22:30.5,2453794.798,2006-02-28.30,24.624,1.246,1.210,0.207,1.0,16.408,16.408,269.928,-29.37513888888889
2006-BLG-004,BLG105.3,156566,18:02:43.39,-29:19:56.0,2453821.75,2006-03-27.25,36.280,0.937,1.390,0.358,1.0,15.232,15.232,270.68079166666666,-29.33222222222222
2006-BLG-005,BLG122.1,162563,17:50:04.55,-34:58:15.7,2453778.302,2006-02-11.80,257.983,0.118,8.504,2.324,0.064,15.823,18.802,267.5189583333333,-34.97102777777778
2006-BLG-006,BLG182.1,134284,17:58:07.47,-30:50:12.8,2453781.977,2006-02-15.48,21.889,0.643,1.787,0.630,1.0,17.88,17.88,269.531125,-30.836888888888886
2006-BLG-007,BLG189.5,176176,18:01:35.61,-29:46:26.7,2453780.736,2006-02-14.24,7.719,0.384,2.745,1.096,1.0,16.383,16.383,270.398375,-29.774083333333333
2006-BLG-008,BLG194.1,143483,17:51:52.13,-29:35:33.3,2453790.153,2006-02-23.65,42.513,0.070,14.386,2.895,0.808,18.077,18.309,267.9672083333333,-29.592583333333334
2006-BLG-009,BLG195.3,110608,17:54:07.47,-29:08:13.5,2453777.438,2006-02-10.94,18.987,0.056,17.920,3.133,0.267,17.548,18.98,268.531125,-29.137083333333333
2006-BLG-010,BLG214.1,32016,17:58:32.41,-28:34:02.3,2453775.456,2006-02-08.96,65.076,0.044,22.664,3.388,0.731,17.124,17.464,269.6350416666666,-28.567305555555556
2006-BLG-011,BLG215.7,151728,17:59:57.13,-28:20:26.1,2453786.047,2006-02-19.55,26.442,0.031,32.155,3.768,0.283,18.745,20.116,269.9880416666667,-28.34058333333333
2006-BLG-012,BLG218.2,129602,18:08:15.28,-28:19:21.6,2453795.445,2006-02-28.95,19.412,0.186,5.448,1.841,1.0,17.787,17.787,272.0636666666666,-28.322666666666667
2006-BLG-013,BLG223.5,87567,17:59:09.49,-27:30:12.4,2453779.504,2006-02-13.00,65.601,0.142,7.099,2.128,0.092,17.81,20.399,269.78954166666665,-27.503444444444444
2006-BLG-014,BLG225.4,40272,18:05:46.20,-27:31:53.6,2453773.616,2006-02-07.12,154.707,0.745,1.607,0.515,0.201,14.903,16.643,271.44249999999994,-27.531555555555556
2006-BLG-015,BLG226.8,125777,18:05:51.82,-27:52:23.4,2453778.442,2006-02-11.94,107.175,0.611,1.859,0.673,1.0,17.983,17.983,271.4659166666666,-27.873166666666666
2006-BLG-016,BLG227.5,107011,18:09:07.07,-27:28:10.1,2453769.649,2006-02-03.15,46.422,0.000,4599.9,9.157,0.3,17.284,18.59,272.27945833333325,-27.46947222222222
2006-BLG-017,BLG232.2,70347,18:01:04.17,-27:11:12.8,2453785.636,2006-02-19.14,11.094,0.838,1.487,0.431,1.0,18.652,18.652,270.26737499999996,-27.186888888888888
2006-BLG-018,BLG100.3,133780,17:51:05.25,-29:52:11.3,2453802.294,2006-03-07.79,17.016,0.320,3.248,1.279,1.0,17.807,17.807,267.77187499999997,-29.869805555555555
2006-BLG-019,BLG100.4,174994,17:52:15.82,-29:42:16.2,2453772.195,2006-02-05.70,82.423,0.142,7.113,2.130,0.047,16.362,19.686,268.0659166666666,-29.7045
2006-BLG-020,BLG130.4,97621,17:47:26.99,-33:58:08.2,2453852.46,2006-04-26.96,115.178,0.219,4.647,1.668,0.712,18.256,18.626,266.86245833333334,-33.968944444444446
2006-BLG-021,BLG148.1,15138,17:53:15.15,-33:17:23.6,2453801.932,2006-03-07.43,58.072,1.355,1.172,0.172,1.0,15.799,15.799,268.31312499999996,-33.28988888888889
2006-BLG-022,BLG155.8,12666,17:51:30.76,-32:42:26.6,2453796.586,2006-03-02.09,49.957,0.344,3.035,1.206,0.661,16.295,16.746,267.87816666666663,-32.70738888888889
2006-BLG-023,BLG156.2,76893,17:55:05.15,-32:28:51.3,2453857.649,2006-05-02.15,28.762,0.094,10.651,2.568,1.0,18.424,18.424,268.7714583333333,-32.480916666666666
2006-BLG-024,BLG241.8,62935,18:05:16.70,-26:45:03.4,2453779.025,2006-02-12.53,11.551,0.750,1.599,0.510,1.0,17.639,17.639,271.31958333333324,-26.750944444444446
2006-BLG-025,BLG103.2,40484,17:56:32.46,-30:12:43.4,2453794.36,2006-02-27.86,34.908,0.395,2.678,1.069,1.0,19.103,19.103,269.13525,-30.212055555555555
2006-BLG-026,BLG104.2,119072,18:00:03.01,-29:31:14.7,2453789.769,2006-02-23.27,43.525,0.173,5.835,1.915,0.276,19.218,20.616,270.01254166666666,-29.52075
2006-BLG-027,BLG171.3,47221,17:53:08.22,-31:12:17.8,2453773.763,2006-02-07.26,21.183,0.630,1.814,0.646,1.0,18.766,18.766,268.28425,-31.204944444444443
2006-BLG-028,BLG180.4,7283,17:53:00.13,-30:29:37.5,2453802.337,2006-03-07.84,-,-,-,-,1.0,17.755,17.755,268.2505416666666,-30.493750000000002
2006-BLG-029,BLG206.8,76903,17:59:27.37,-29:08:12.8,2453768.987,2006-02-02.49,15.170,0.489,2.225,0.869,1.0,17.383,17.383,269.86404166666665,-29.136888888888887
2006-BLG-030,BLG102.6,39837,17:55:55.71,-29:29:19.4,2453791.08,2006-02-24.58,22.446,1.323,1.182,0.182,1.0,17.425,17.425,268.98212499999994,-29.488722222222222
2006-BLG-031,BLG218.3,109901,18:08:46.06,-28:12:34.9,2453813.97,2006-03-19.47,47.278,1.434,1.149,0.151,1.0,15.325,15.325,272.19191666666666,-28.209694444444445
2006-BLG-032,BLG155.5,85725,17:51:39.39,-32:10:51.9,2453744.714,2006-01-09.21,40.863,0.263,3.902,1.478,1.0,18.15,18.15,267.914125,-32.18108333333333
2006-BLG-033,BLG180.1,99219,17:53:57.53,-30:53:17.5,2453805.985,2006-03-11.48,47.973,0.242,4.217,1.562,0.146,16.138,18.226,268.4897083333333,-30.888194444444444
2006-BLG-034,BLG182.4,109152,17:58:43.51,-30:25:00.6,2453813.253,2006-03-18.75,18.806,0.386,2.732,1.091,1.0,15.299,15.299,269.6812916666666,-30.416833333333333
2006-BLG-035,BLG205.8,133234,17:57:05.53,-29:03:43.9,2453805.774,2006-03-11.27,90.929,0.122,8.215,2.286,0.227,18.787,20.397,269.27304166666664,-29.062194444444444
2006-BLG-036,BLG206.7,122268,17:59:13.75,-28:55:30.0,2453790.974,2006-02-24.47,9.505,0.760,1.585,0.500,1.0,18.594,18.594,269.8072916666667,-28.925
2006-BLG-037,BLG218.4,109873,18:08:46.38,-28:01:46.2,2453724.627,2005-12-20.13,46.790,0.294,3.509,1.363,1.0,17.765,17.765,272.19325,-28.0295
2006-BLG-038,BLG179.4,75121,17:51:03.99,-30:26:09.5,2453829.96,2006-04-04.46,-,-,-,-,1.0,16.442,16.442,267.76662500000003,-30.435972222222222
2006-BLG-039,BLG194.1,35953,17:51:02.87,-29:39:41.1,2453794.015,2006-02-27.52,4.092,0.313,3.310,1.300,0.856,14.206,14.375,267.7619583333333,-29.661416666666664
