Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0522,BLG611.22,75138,17:34:57.52,-26:59:22.4,2456045.558,2012-04-28.06,10.07,0.31,3.339,1.309,0.535,19.512,20.191,263.7396666666666,-26.989555555555558
2012-BLG-0523,BLG611.31,66188,17:34:15.23,-26:39:27.3,2456044.395,2012-04-26.89,20.556,0.048,20.832,3.297,0.131,19.761,21.971,263.5634583333333,-26.65758333333333
2012-BLG-0524,BLG630.04,66072,17:45:18.80,-21:33:28.0,2456030.141,2012-04-12.64,14.901,0.459,2.348,0.927,1.0,19.391,19.391,266.3283333333333,-21.55777777777778
2012-BLG-0525,BLG500.03,19690,17:52:53.69,-29:05:52.9,2456048.23,2012-04-30.73,3.624,1.635,1.107,0.11,1.0,17.527,17.527,268.2237083333333,-29.098027777777776
2012-BLG-0526,BLG500.17,164618,17:54:33.20,-28:29:15.2,2456060.181,2012-05-12.68,32.555,0.261,3.932,1.487,1.0,20.087,20.087,268.63833333333326,-28.487555555555556
2012-BLG-0527,BLG500.20,135986,17:52:22.82,-28:34:00.9,2456046.733,2012-04-29.23,4.669,0.35,2.985,1.187,1.0,20.2,20.2,268.09508333333326,-28.566916666666668
2012-BLG-0528,BLG501.01,156375,17:53:51.51,-30:23:06.6,2456054.996,2012-05-07.50,8.162,0.47,2.299,0.904,1.0,18.489,18.489,268.46462499999996,-30.385166666666667
2012-BLG-0529,BLG501.02,58930,17:53:24.78,-30:25:00.8,2456047.289,2012-04-29.79,15.09,0.038,26.142,3.543,0.239,19.951,21.505,268.35325,-30.41688888888889
2012-BLG-0530,BLG501.03,144326,17:52:36.10,-30:10:45.5,2456149.255,2012-08-09.76,122.76,1.571,1.118,0.121,1.0,17.514,17.514,268.1504166666667,-30.17930555555556
2012-BLG-0531,BLG501.29,69240,17:52:04.52,-29:16:12.7,2456049.19,2012-05-01.69,5.721,0.709,1.663,0.552,1.0,19.276,19.276,268.0188333333333,-29.270194444444442
2012-BLG-0532,BLG505.02,31199,17:59:16.64,-29:39:57.5,2456048.762,2012-05-01.26,5.384,0.69,1.697,0.574,1.0,19.064,19.064,269.8193333333333,-29.66597222222222
2012-BLG-0533,BLG505.02,123148,17:58:49.53,-29:44:05.6,2456049.955,2012-05-02.46,10.397,0.876,1.447,0.401,1.0,18.538,18.538,269.7063749999999,-29.73488888888889
2012-BLG-0534,BLG505.03,89503,17:58:16.95,-29:40:08.1,2456041.834,2012-04-24.33,0.107,0.81,1.52,0.455,1.0,19.072,19.072,269.57062499999995,-29.668916666666668
