Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2009-BLG-001,BLG100.1,106140,17:51:28.02,-30:11:55.1,2454867.118,2009-02-04.62,57.318,0.735,1.623,0.526,1.0,17.941,17.941,267.86674999999997,-30.19863888888889
2009-BLG-002,BLG100.3,15205,17:51:33.32,-29:59:04.9,2454850.608,2009-01-19.11,14.927,0.0,8509.7,9.825,1.0,16.413,16.413,267.8888333333333,-29.984694444444447
2009-BLG-003,BLG101.1,110081,17:54:48.49,-30:04:38.6,2454970.62,2009-05-19.12,64.933,0.709,1.664,0.553,1.0,14.855,14.855,268.7020416666666,-30.077388888888887
2009-BLG-004,BLG101.2,217249,17:54:09.33,-29:50:06.1,2454907.611,2009-03-17.11,59.97,1.292,1.193,0.191,1.0,15.739,15.739,268.53887499999996,-29.83502777777778
2009-BLG-005,BLG101.3,84276,17:54:04.26,-29:46:43.9,2454885.539,2009-02-23.04,13.018,0.979,1.357,0.331,1.0,16.286,16.286,268.51775,-29.77886111111111
2009-BLG-006,BLG101.8,224157,17:53:02.84,-30:00:28.0,2454877.883,2009-02-15.38,181.614,0.007,141.3,5.375,0.271,19.451,20.87,268.2618333333333,-30.00777777777778
2009-BLG-007,BLG102.4,188755,17:56:35.25,-29:14:08.9,2454876.792,2009-02-14.29,36.875,0.032,31.419,3.743,0.291,18.874,20.216,269.146875,-29.235805555555558
2009-BLG-008,BLG103.4,40104,17:56:25.37,-29:53:08.1,2454866.972,2009-02-04.47,72.259,0.672,1.729,0.594,1.0,18.181,18.181,269.1057083333333,-29.885583333333333
2009-BLG-009,BLG103.5,30958,17:55:53.66,-29:56:50.0,2454886.768,2009-02-24.27,17.032,0.604,1.875,0.683,1.0,17.1,17.1,268.9735833333333,-29.947222222222223
2009-BLG-010,BLG104.1,161651,17:59:54.85,-29:38:27.8,2454871.304,2009-02-08.80,21.434,0.801,1.53,0.462,1.0,17.448,17.448,269.9785416666667,-29.641055555555557
2009-BLG-011,BLG104.3,43430,17:59:07.97,-29:25:46.2,2454865.065,2009-02-02.56,15.486,0.927,1.399,0.365,1.0,17.422,17.422,269.78320833333333,-29.4295
2009-BLG-012,BLG104.3,64652,17:59:44.65,-29:24:20.1,2454866.844,2009-02-04.34,34.264,1.224,1.219,0.215,1.0,16.925,16.925,269.93604166666665,-29.405583333333333
2009-BLG-013,BLG172.3,158174,17:56:17.68,-31:07:34.9,2454880.811,2009-02-18.31,49.612,0.086,11.685,2.669,0.745,19.211,19.531,269.0736666666666,-31.126361111111112
2009-BLG-014,BLG172.6,150901,17:54:54.32,-31:07:55.6,2454987.077,2009-06-04.58,79.409,0.215,4.731,1.687,1.0,15.777,15.777,268.7263333333333,-31.13211111111111
2009-BLG-015,BLG179.2,59639,17:50:22.45,-30:45:19.5,2454857.626,2009-01-26.13,26.117,0.548,2.024,0.765,1.0,18.123,18.123,267.5935416666666,-30.755416666666665
2009-BLG-016,BLG179.8,48923,17:49:54.60,-30:54:34.9,2454887.898,2009-02-25.40,15.048,0.562,1.982,0.743,0.41,16.331,17.3,267.47749999999996,-30.909694444444444
2009-BLG-017,BLG182.2,84076,17:59:07.56,-30:43:59.6,2454940.788,2009-04-19.29,89.554,1.111,1.272,0.262,1.0,13.98,13.98,269.78149999999994,-30.73322222222222
2009-BLG-018,BLG182.3,58734,17:58:34.04,-30:36:11.3,2454875.539,2009-02-13.04,4.009,1.111,1.272,0.261,1.0,15.845,15.845,269.64183333333324,-30.60313888888889
2009-BLG-019,BLG194.4,19729,17:52:06.80,-29:13:02.8,2454863.561,2009-02-01.06,14.458,0.611,1.858,0.673,1.0,15.895,15.895,268.0283333333333,-29.217444444444443
2009-BLG-020,BLG196.7,144536,18:04:20.99,-29:31:08.6,2454917.436,2009-03-26.94,13.984,0.049,20.326,3.27,0.987,15.078,15.092,271.0874583333333,-29.519055555555553
2009-BLG-021,BLG205.1,96827,17:57:45.78,-29:05:55.0,2454886.776,2009-02-24.28,17.234,0.866,1.457,0.408,1.0,15.482,15.482,269.4407499999999,-29.09861111111111
2009-BLG-022,BLG205.2,141870,17:57:44.79,-28:54:55.5,2454860.944,2009-01-29.44,13.72,0.865,1.458,0.409,1.0,16.443,16.443,269.436625,-28.915416666666665
2009-BLG-023,BLG206.4,23965,18:00:37.36,-28:42:01.6,2454912.947,2009-03-22.45,208.932,0.038,26.596,3.562,0.241,17.785,19.329,270.1556666666666,-28.700444444444443
2009-BLG-024,BLG206.4,162164,18:00:46.57,-28:35:34.3,2454902.196,2009-03-11.70,31.602,0.461,2.339,0.923,1.0,17.307,17.307,270.19404166666664,-28.59286111111111
2009-BLG-025,BLG207.5,147640,18:02:19.81,-28:37:51.8,2454832.638,2009-01-01.14,23.569,0.0,186340.0,13.176,1.0,14.158,14.158,270.58254166666666,-28.631055555555555
2009-BLG-026,BLG214.1,77226,17:58:23.22,-28:32:05.8,2454886.558,2009-02-24.06,61.536,0.316,3.279,1.289,0.346,18.272,19.423,269.59675,-28.534944444444445
2009-BLG-027,BLG224.3,30748,18:02:53.16,-27:41:15.7,2454894.14,2009-03-03.64,353.18,0.125,8.064,2.266,0.031,16.093,19.857,270.7215,-27.687694444444446
2009-BLG-028,BLG241.1,112342,18:06:39.93,-26:42:31.1,2454883.451,2009-02-20.95,104.878,1.401,1.158,0.16,1.0,16.661,16.661,271.66637499999996,-26.70863888888889
2009-BLG-029,BLG241.2,51833,18:06:16.08,-26:36:30.9,2454934.713,2009-04-13.21,129.491,0.573,1.953,0.727,0.567,15.914,16.531,271.56699999999995,-26.608583333333335
2009-BLG-030,BLG241.3,89476,18:06:23.47,-26:25:10.4,2454842.751,2009-01-11.25,47.773,0.354,2.959,1.178,1.0,16.745,16.745,271.59779166666664,-26.419555555555558
2009-BLG-031,BLG104.6,85736,17:58:50.36,-29:24:49.5,2454855.448,2009-01-23.95,32.161,0.539,2.053,0.781,1.0,18.358,18.358,269.7098333333333,-29.41375
2009-BLG-032,BLG105.7,161820,18:01:35.75,-29:29:14.0,2454896.034,2009-03-05.53,27.954,1.16,1.247,0.24,1.0,17.618,17.618,270.39895833333327,-29.487222222222222
2009-BLG-033,BLG121.4,4043,17:46:41.24,-34:37:09.2,2454873.639,2009-02-11.14,25.134,0.475,2.279,0.894,1.0,16.037,16.037,266.6718333333333,-34.61922222222222
2009-BLG-034,BLG141.1,4365,17:53:43.71,-33:54:27.1,2454849.869,2009-01-18.37,35.393,0.143,7.052,2.121,1.0,18.211,18.211,268.432125,-33.90752777777777
2009-BLG-035,BLG141.5,16374,17:52:50.66,-33:25:34.3,2454881.588,2009-02-19.09,46.167,0.075,13.376,2.816,0.042,17.242,20.69,268.2110833333333,-33.42619444444444
2009-BLG-036,BLG157.2,53242,17:58:11.67,-32:31:27.6,2454887.367,2009-02-24.87,35.819,0.299,3.46,1.348,0.217,17.651,19.31,269.54862499999996,-32.52433333333333
2009-BLG-037,BLG157.8,43827,17:56:30.77,-32:40:22.3,2454884.662,2009-02-22.16,21.314,0.195,5.204,1.791,0.858,16.661,16.827,269.1282083333333,-32.67286111111111
2009-BLG-038,BLG173.5,18848,17:57:19.26,-31:03:39.8,2454866.392,2009-02-03.89,17.559,0.98,1.356,0.331,1.0,17.682,17.682,269.33025,-31.061055555555555
2009-BLG-039,BLG190.5,156592,18:04:09.82,-29:45:54.1,2454859.005,2009-01-27.50,30.736,0.0,2543.3,8.514,1.0,17.973,17.973,271.04091666666665,-29.765027777777778
2009-BLG-040,BLG197.4,121290,18:07:27.10,-29:11:54.1,2454892.46,2009-03-01.96,19.944,0.396,2.672,1.067,1.0,17.837,17.837,271.86291666666665,-29.19836111111111
2009-BLG-041,BLG208.8,167578,18:04:29.33,-29:02:37.6,2454884.764,2009-02-22.26,39.51,0.783,1.553,0.478,1.0,18.433,18.433,271.12220833333333,-29.04377777777778
2009-BLG-042,BLG216.6,66097,18:01:46.91,-28:14:09.8,2454857.189,2009-01-25.69,25.633,1.503,1.133,0.135,1.0,14.408,14.408,270.4454583333333,-28.236055555555556
2009-BLG-043,BLG216.8,57289,18:01:53.85,-28:31:33.9,2454875.322,2009-02-12.82,23.305,1.217,1.222,0.217,1.0,15.858,15.858,270.47437499999995,-28.526083333333332
2009-BLG-044,BLG227.3,116775,18:10:49.17,-27:37:08.8,2454821.62,2008-12-21.12,40.308,0.946,1.383,0.352,1.0,14.144,14.144,272.70487499999996,-27.61911111111111
2009-BLG-045,BLG100.4,69184,17:51:46.81,-29:47:05.0,2454895.403,2009-03-04.90,34.077,0.442,2.425,0.962,1.0,19.415,19.415,267.94504166666667,-29.784722222222225
2009-BLG-046,BLG155.6,36633,17:51:21.65,-32:22:48.2,2454884.818,2009-02-22.32,21.707,0.315,3.289,1.293,1.0,16.957,16.957,267.8402083333333,-32.38005555555556
2009-BLG-047,BLG164.8,48792,17:54:42.13,-32:05:30.6,2454875.119,2009-02-12.62,49.995,0.101,9.946,2.494,0.217,18.612,20.269,268.6755416666666,-32.091833333333334
2009-BLG-048,BLG172.6,120695,17:55:22.82,-31:09:10.3,2454890.869,2009-02-28.37,5.481,0.583,1.928,0.713,1.0,16.199,16.199,268.8450833333333,-31.15286111111111
2009-BLG-049,BLG182.3,98575,17:58:30.88,-30:34:07.2,2454916.946,2009-03-26.45,117.83,0.538,2.054,0.781,1.0,18.255,18.255,269.6286666666666,-30.568666666666665
2009-BLG-050,BLG196.4,22057,18:05:07.17,-29:18:38.7,2454899.089,2009-03-08.59,19.86,0.061,16.452,3.041,0.383,18.171,19.214,271.27987499999995,-29.310750000000002
2009-BLG-051,BLG207.2,15573,18:02:56.15,-29:00:01.1,2454894.491,2009-03-03.99,12.066,0.579,1.937,0.718,1.0,18.704,18.704,270.7339583333333,-29.000305555555556
2009-BLG-052,BLG104.7,18507,17:58:18.06,-29:36:44.4,2454902.128,2009-03-11.63,15.588,0.085,11.838,2.683,0.899,17.724,17.839,269.5752499999999,-29.612333333333336
2009-BLG-053,BLG181.5,56922,17:54:21.42,-30:26:15.0,2454895.259,2009-03-04.76,19.343,0.093,10.776,2.581,1.0,18.805,18.805,268.58924999999994,-30.4375
2009-BLG-054,BLG184.6,91024,18:02:17.54,-30:34:18.0,2454903.046,2009-03-12.55,49.573,1.09,1.284,0.272,1.0,16.059,16.059,270.57308333333333,-30.571666666666665
2009-BLG-055,BLG196.7,182674,18:04:04.14,-29:28:35.5,2454890.182,2009-02-27.68,8.936,1.098,1.279,0.268,1.0,15.549,15.549,271.01724999999993,-29.476527777777775
2009-BLG-056,BLG242.2,39185,18:09:51.63,-26:38:15.9,2454857.313,2009-01-25.81,25.75,0.9,1.424,0.384,1.0,15.565,15.565,272.46512499999994,-26.63775
2009-BLG-057,BLG242.5,107235,18:07:24.87,-26:12:57.7,2454840.844,2009-01-09.34,46.04,0.549,2.022,0.765,1.0,16.822,16.822,271.85362499999997,-26.21602777777778
2009-BLG-058,BLG121.2,27953,17:47:34.79,-34:55:42.0,2454887.854,2009-02-25.35,21.935,0.071,14.178,2.879,0.137,18.021,20.177,266.8949583333333,-34.92833333333333
2009-BLG-059,BLG131.8,79597,17:48:11.86,-34:24:44.8,2454873.18,2009-02-10.68,40.511,0.306,3.379,1.322,1.0,19.242,19.242,267.0494166666667,-34.412444444444446
2009-BLG-060,BLG232.6,119846,17:59:56.87,-26:58:44.0,2454938.948,2009-04-17.45,122.995,0.479,2.263,0.887,1.0,18.037,18.037,269.9869583333333,-26.978888888888886
2009-BLG-061,BLG121.8,81843,17:45:29.06,-35:00:08.8,2454882.52,2009-02-20.02,19.641,0.242,4.23,1.566,1.0,18.553,18.553,266.3710833333333,-35.00244444444444
2009-BLG-062,BLG102.5,210233,17:55:43.88,-29:14:33.9,2454908.867,2009-03-18.37,67.576,0.028,35.764,3.884,0.085,18.124,20.803,268.93283333333335,-29.24275
