HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
3824.09898,1064.151855,1716.337847,511.443695,335,3824.098102,1.68774,6938.74,1.48019,223,1.61464,100,-0.9631,370.8942,193,1.4726,0.8241,True
3824.13854,1502.223755,2194.310294,639.694641,336,3824.137655,1.55627,6562.24,1.25711,396,1.65266,100,-2.8524,536.4757,193,1.252,0.6397,True
3824.17716,1619.0979,2324.78591,558.037292,337,3824.176267,1.87348,6713.98,1.12944,426,1.64798,100,-0.251,271.29465,193,1.1259,0.4442,True
3824.2026,2394.664062,3094.746748,453.945374,338,3824.201708,1.58314,6594.72,1.07778,193,1.65698,100,1.904,334.47375,193,1.0756,0.3076,True
3825.1009,2367.597168,3025.83521,433.180115,339,3825.099923,1.68722,6799.05,1.45007,269,1.59413,100,18.2283,171.87402,193,1.4408,0.8037,True
3825.14001,2515.593262,3212.480034,512.719421,340,3825.139029,1.72109,6366.89,1.24081,524,1.62493,100,6.5979,347.34818,193,1.2351,0.6196,True
3825.18464,2233.112793,2940.046294,695.02771,341,3825.183648,1.66398,6330.43,1.10609,294,1.63657,100,-0.4646,679.81146,193,1.1032,0.3906,True
3825.22696,927.03064,,1352.54895,342,3825.225969,1.41147,5976.19,1.04569,256,1.63506,100,24.8838,18919.1,193,,,False
3837.21274,1433.508911,2130.619024,512.346313,345,3837.210598,1.94072,7762.32,1.03576,472,1.62243,100,8.2987,139.93361,193,1.0359,0.059,True
3839.07099,-1038.82959,-382.533187,395.810547,347,3839.068679,1.49814,14178.0,1.40444,240,1.60365,100,3.088,249.77486,193,1.3957,0.7719,True
3839.11073,-289.911041,407.46981,390.846008,348,3839.10842,1.61386,13074.3,1.21051,251,1.62286,100,16.48,169.11931,193,1.2062,0.582,True
3839.15055,961.685608,1659.535451,808.240967,349,3839.148234,1.52986,12433.8,1.09982,275,1.63112,100,10.1844,808.55475,193,1.0976,0.3755,True
3839.19031,829.942871,1521.675775,462.214203,350,3839.187992,1.67132,11767.3,1.04514,434,1.63252,100,15.3785,210.08746,193,1.0446,0.1561,True
3839.2297,-1969.322998,-1267.223657,780.412903,351,3839.227379,1.93057,12032.2,1.03528,210,1.62223,100,22.6955,502.54657,193,1.0363,-0.0675,True
3843.00281,-1431.681396,-869.065631,1288.196411,352,3843.000155,2.86728,26561.2,1.96448,281,1.52438,100,79.5499,141.0687,193,1.9466,1.0212,True
3843.04081,-1313.287964,-713.745129,1212.956177,353,3843.038151,2.42653,15233.9,1.54292,299,0.954158,60,105.7495,173.32341,193,1.5343,0.8599,True
3843.0697,315.783844,969.709488,1001.339172,354,3843.067035,2.12872,13955.7,1.34775,357,0.9589,60,34.2121,133.58911,193,1.342,0.729,True
3843.09788,-876.708435,-187.978387,764.949341,355,3843.095217,1.93444,13611.5,1.21781,436,0.975905,60,39.8478,159.13719,193,1.2146,0.5933,True
3843.12634,262.65976,944.990913,976.332214,356,3843.123669,2.14416,13146.6,1.13048,343,0.965295,60,24.9014,119.81521,193,1.1276,0.448,True
3845.13675,834.079956,1530.742236,551.004578,358,3845.133905,1.54212,14947.7,1.09549,208,0.954309,60,80.1609,170.89032,193,1.0936,0.3644,True
3854.97459,2225.854004,2813.608403,2419.79834,368,3854.970934,2.59499,4360.25,1.90845,273,0.855225,60,0.6036,590.24176,193,1.897,1.0066,True
3855.01671,1302.060425,1948.843857,458.456268,370,3855.013054,1.81791,3889.2,1.48301,419,0.950879,60,8.2208,100.9711,193,1.4756,0.8259,True
3855.04165,995.949829,1665.32182,477.347687,371,3855.037994,1.93249,4082.0,1.32703,416,0.953352,60,12.1196,88.960495,193,1.3223,0.7116,True
3855.06797,-745.306885,-50.903371,926.165649,372,3855.064306,1.67988,3105.37,1.21195,114,0.400716,60,45.1382,109.55292,193,1.2078,0.5841,True
3855.95063,-66.943581,516.725116,668.550781,377,3855.9469,1.86767,4187.82,2.26498,356,0.659124,60,19.5389,104.772766,193,2.246,1.0933,True
3855.97674,508.803894,1074.889179,616.113525,378,3855.973015,1.54893,3901.82,1.84601,151,0.707354,60,7.9592,197.60681,193,1.8341,0.9866,True
3856.00274,749.435364,1360.580125,1055.428223,379,3855.999011,1.47235,3328.96,1.57213,59,0.302533,60,6.5434,167.77252,193,1.5645,0.8758,True
3856.05017,-1043.351929,-358.848327,1412.304565,381,3856.046431,1.66745,2929.42,1.2725,24,0.179804,60,47.1648,109.65824,193,1.2687,0.6583,True
3856.09164,-833.340454,-143.9595,686.33313,383,3856.087906,1.4184,3505.16,1.13048,94,0.463494,60,5.4697,161.25781,193,1.1283,0.4494,True
3856.11859,-599.552795,79.394471,519.340759,384,3856.114849,1.40449,3759.82,1.07627,180,0.786902,60,12.4758,273.75168,193,1.0748,0.3047,True
3856.14761,-183.61409,478.645592,822.062256,385,3856.143872,1.39461,3554.23,1.04349,192,0.941674,60,-16.6293,812.66486,193,1.043,0.1431,True
3856.17379,-3267.494385,-2592.87363,1063.375122,386,3856.170046,1.50686,3562.99,1.03384,118,0.53339,60,-148.9157,261.71317,193,1.0345,-0.0055,True
3856.2011,-5322.606934,-4627.539141,1897.051025,387,3856.197355,1.41662,3406.46,1.04349,98,0.392951,60,-92.6378,609.9459,193,1.0452,-0.1603,True
3856.23269,-348.146942,416.753985,661.851807,388,3856.228938,1.46032,3877.72,1.08084,145,0.774107,60,-5.3053,459.25555,193,1.084,-0.3354,True
3856.25891,-782.73053,50.057393,462.203857,389,3856.255155,1.48941,4040.59,1.13682,267,0.929657,60,2.636,347.36404,193,1.1408,-0.4749,True
3858.93958,1057.306519,1650.767744,563.960938,391,3858.935628,1.91817,4483.92,2.33135,417,0.921283,60,31.4078,102.9465,193,2.3084,1.1057,True
3858.96927,2232.04834,2837.779072,485.371368,392,3858.965321,1.99124,4247.56,1.84103,419,0.944223,60,14.5296,88.23106,193,1.8279,0.9845,True
3858.99541,501.322784,1124.621889,566.966736,393,3858.991458,2.15098,4293.66,1.56881,389,0.954081,60,27.0237,100.038315,193,1.5591,0.8731,True
3859.02439,644.225769,1276.566445,947.398376,394,3859.020435,2.26624,3331.03,1.3629,264,0.452857,60,27.284,78.74125,193,1.3581,0.7426,True
3859.05152,940.368042,1623.893122,586.184814,395,3859.047566,1.92577,4073.03,1.23295,418,0.943357,60,-1.7762,146.29263,193,1.2297,0.6129,True
3859.0804,61.251236,761.451327,494.001526,396,3859.076437,1.69146,3798.51,1.13897,238,0.981284,60,12.9365,187.69151,193,1.1366,0.4665,True
3859.1088,1456.380615,2153.774036,357.273865,397,3859.104842,1.69667,3659.23,1.0793,224,0.973526,60,8.7655,90.66559,193,1.0777,0.3147,True
3859.13494,957.942078,1649.951143,704.067627,398,3859.130978,1.76749,3773.98,1.04682,378,0.834042,60,11.559,192.43233,193,1.0465,0.1696,True
3859.16105,792.881958,1469.514678,524.959961,399,3859.157086,1.55203,3667.31,1.03432,162,0.914317,60,10.671,246.2312,193,1.0346,0.0217,True
3859.19042,1199.884644,1904.547467,570.617615,400,3859.186453,1.63457,3909.52,1.04188,224,0.980822,60,18.7896,229.12556,193,1.0432,-0.145,True
3859.2213,560.112366,1302.8945,459.483734,401,3859.217326,1.83487,4150.13,1.07553,447,0.978463,60,12.5153,135.68542,193,1.0783,-0.3167,True
3859.24752,556.354736,1317.397794,628.241638,402,3859.243546,1.94857,4178.14,1.12841,406,0.8692,60,19.18,133.93138,193,1.132,-0.4571,True
3859.2737,1696.646851,2483.268664,646.325012,403,3859.26973,1.97362,6006.99,1.20764,390,0.910497,60,21.9275,142.97763,193,1.2126,-0.5907,True
3859.97629,2877.180664,3465.448841,2689.685547,404,3859.97226,2.47275,2991.3,1.72628,94,0.153378,60,19.0906,75.390884,193,1.7159,0.9439,True
3860.00532,-501.767517,145.812521,1161.234985,405,3860.001297,1.74192,3221.16,1.46903,101,0.257574,60,31.3536,73.58202,193,1.462,0.8174,True
3860.03144,-202.674149,473.826223,563.260925,406,3860.027409,1.76838,3966.16,1.31119,252,0.69357,60,19.925,119.25714,193,1.3067,0.6971,True
3860.06199,435.929871,1115.455857,1191.611084,407,3860.057963,2.0637,4374.88,1.18569,378,0.958929,60,32.4047,398.6911,193,1.1826,0.5474,True
3860.08811,458.429993,1141.504393,963.898315,408,3860.084081,2.11691,3854.81,1.11355,300,0.565003,60,28.3049,118.04588,193,1.1118,0.4119,True
3860.11428,301.846558,998.786043,649.631592,409,3860.110246,1.83156,4081.93,1.06691,424,0.972853,60,22.6986,211.10114,193,1.0658,0.27,True
3860.14282,-1551.377686,-860.373369,464.054626,410,3860.138782,1.80774,4142.95,1.03978,475,0.979609,60,23.3292,99.32261,193,1.0395,0.1101,True
3860.16903,-107.571747,584.579641,572.801208,411,3860.164995,1.72509,3891.64,1.03432,499,0.98476,60,-3.1808,228.5288,193,1.0351,-0.0389,True
3860.19641,235.297394,952.390757,414.922424,412,3860.192364,1.70508,3836.92,1.04853,317,0.959671,60,2.1726,98.60937,193,1.0502,-0.1936,True
3860.22492,-9871.495117,,2511.910645,413,3860.220877,1.63687,3728.84,1.08636,211,0.817133,60,-207.606,1250.7552,193,,,False
3860.93406,-753.306702,-222.407153,651.208984,415,3860.92997,1.62411,4602.32,2.33135,217,0.937649,60,13.2745,280.08792,193,2.3125,1.1065,True
3860.9627,607.71167,1181.261489,483.154083,416,3860.958607,1.62213,4348.45,1.85608,168,0.960366,60,10.5854,161.77225,193,1.8437,0.9897,True
3860.98884,-230.127838,385.715926,496.737396,417,3860.984743,1.54625,4057.34,1.57883,226,0.980477,60,9.1887,201.90921,193,1.5697,0.8785,True
3861.01497,230.480331,889.5655,628.639709,418,3861.010867,1.58446,3769.48,1.38783,208,0.983101,60,16.0194,279.2825,193,1.382,0.7616,True
3861.04111,151.907303,834.29284,449.985687,419,3861.037007,1.51034,3781.34,1.25545,173,0.991009,60,4.9062,184.15038,193,1.2504,0.6379,True
3861.06973,-556.172363,132.540905,684.257751,420,3861.065631,1.42149,3803.94,1.15354,191,0.998126,60,26.3859,527.2404,193,1.151,0.4943,True
3861.09589,-526.359253,159.616549,440.829041,421,3861.091783,1.44643,3953.97,1.09211,181,0.998083,60,3.1532,207.79408,193,1.0907,0.356,True
3861.12485,-609.59082,62.618967,511.863586,422,3861.120744,1.45203,3781.8,1.05146,183,0.997572,60,0.0812,305.35748,193,1.0507,0.1964,True
3861.15098,193.673813,861.870393,500.199249,423,3861.146872,1.47996,3668.17,1.03528,174,1.00113,60,-1.21,419.434,193,1.0354,0.0487,True
3861.18009,1488.570923,2171.963826,528.2547,424,3861.175976,1.43057,3749.72,1.03875,221,0.990174,60,14.6706,768.3994,193,1.0401,-0.1167,True
3861.20959,855.268799,,1098.286011,425,3861.205477,1.41781,3724.52,1.06622,209,0.982072,60,20.1602,1991.5104,193,,,False
