Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2009-BLG-391,MOA-2,gb14,9,+18:08:52.3178,-27:08:23.6040,,272.21799083333326,-27.13989
MOA-2009-BLG-392,MOA-2,gb3,6,+17:54:45.0466,-33:18:27.6408,,268.68769416666663,-33.307677999999996
MOA-2009-BLG-393,MOA-2,gb5,10,+17:56:49.0070,-28:28:00.9588,,269.2041958333333,-28.466932999999997
MOA-2009-BLG-394,MOA-2,gb14,9,+18:07:31.4405,-27:01:58.4292,,271.88100208333327,-27.032897
MOA-2009-BLG-395,MOA-2,gb9,5,+17:57:48.9895,-30:02:16.1484,,269.4541229166666,-30.037819000000002
MOA-2009-BLG-396,MOA-2,gb1,9,+17:49:39.4397,-33:57:56.1492,,267.4143320833333,-33.965597
MOA-2009-BLG-397,MOA-2,gb16,2,+18:09:46.5235,-28:55:41.1204,,272.4438479166666,-28.928089
MOA-2009-BLG-398,MOA-2,gb11,5,+18:03:34.0402,-33:25:04.2852,,270.8918341666666,-33.417857
MOA-2009-BLG-399,MOA-2,gb8,7,+18:00:24.4577,-31:27:18.4932,,270.1019070833333,-31.455137
MOA-2009-BLG-400,MOA-2,gb1,6,+17:49:31.0860,-34:48:47.9160,,267.379525,-34.813309999999994
MOA-2009-BLG-401,MOA-2,gb17,10,+18:14:30.0180,-26:56:21.7752,,273.625075,-26.939382000000002
MOA-2009-BLG-402,MOA-2,gb17,2,+18:11:21.5376,-26:58:33.2076,,272.83974,-26.975890999999997
MOA-2009-BLG-403,MOA-2,gb17,7,+18:14:36.0610,-27:57:00.9864,,273.6502541666666,-27.950274
MOA-2009-BLG-404,MOA-2,gb4,5,+17:53:29.2346,-31:47:26.1420,,268.3718108333333,-31.790595000000003
MOA-2009-BLG-405,MOA-2,gb5,9,+17:55:48.7949,-28:45:29.3976,,268.95331208333334,-28.758166
MOA-2009-BLG-406,MOA-2,gb9,1,+17:59:17.6086,-28:26:35.5236,,269.8233691666666,-28.443201000000002
MOA-2009-BLG-407,MOA-2,gb9,4,+17:57:17.3609,-29:31:20.4528,,269.3223370833333,-29.522347999999997
MOA-2009-BLG-408,MOA-2,gb4,9,+17:57:08.0074,-30:44:18.4128,,269.2833641666666,-30.738448
MOA-2009-BLG-409,MOA-2,gb8,2,+17:57:07.9558,-30:44:18.6612,,269.28314916666665,-30.738517
MOA-2009-BLG-410,MOA-2,gb19,8,+18:19:42.6312,-25:25:46.5096,,274.92762999999997,-25.429586
MOA-2009-BLG-411,MOA-2,gb5,4,+17:53:58.3994,-29:44:56.0112,,268.4933308333333,-29.748892
MOA-2009-BLG-412,MOA-2,gb10,4,+17:58:50.0285,-27:45:10.2888,,269.7084520833333,-27.752858
MOA-2009-BLG-413,MOA-2,gb2,7,+17:54:34.3423,-35:00:17.5104,,268.64309291666666,-35.004864
MOA-2009-BLG-414,MOA-2,gb5,3,+17:50:58.5322,-29:22:50.8440,,267.74388416666665,-29.38079
MOA-2009-BLG-415,MOA-2,gb7,4,+17:58:08.7466,-32:56:33.4536,,269.5364441666666,-32.942626
MOA-2009-BLG-416,MOA-2,gb17,7,+18:13:48.2198,-27:57:23.5260,,273.4509158333332,-27.956535
MOA-2009-BLG-417,MOA-2,gb10,1,+17:58:56.7007,-26:52:57.8460,,269.7362529166666,-26.882735
MOA-2009-BLG-418,MOA-2,gb13,2,+18:03:08.4703,-28:58:39.8928,,270.7852929166666,-28.977748
MOA-2009-BLG-419,MOA-2,gb16,3,+18:11:31.2878,-29:08:24.1152,,272.8803658333333,-29.140031999999998
MOA-2009-BLG-420,MOA-2,gb1,2,+17:45:09.0082,-33:48:23.8680,,266.28753416666666,-33.80663
MOA-2009-BLG-421,MOA-2,gb9,2,+17:57:31.7950,-28:56:12.4224,,269.38247916666666,-28.936784
MOA-2009-BLG-422,MOA-2,gb3,7,+17:57:10.4897,-33:12:26.0712,,269.2937070833333,-33.207242
MOA-2009-BLG-423,MOA-2,gb9,2,+17:58:38.1773,-28:54:24.3756,,269.6590720833333,-28.906771
