Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2011-BLG-001,MOA-2,gb14,4,+18:03:41.1586,-27:45:42.9300,,270.9214941666666,-27.761925
MOA-2011-BLG-002,MOA-2,gb3,10,+17:54:06.3617,-31:59:57.2208,,268.52650708333323,-31.999228000000002
MOA-2011-BLG-003,MOA-2,gb9,4,+17:58:43.2343,-29:26:11.3676,,269.6801429166666,-29.436491
MOA-2011-BLG-004,MOA-2,gb2,5,+17:53:07.0430,-35:11:39.0012,,268.2793458333333,-35.194167
MOA-2011-BLG-005,MOA-2,gb5,10,+17:56:01.6642,-28:36:13.9464,,269.00693416666667,-28.603874
MOA-2011-BLG-006,MOA-2,gb5,6,+17:56:28.3586,-30:04:30.5472,,269.1181608333333,-30.075152
MOA-2011-BLG-007,MOA-2,gb9,3,+17:58:05.8764,-29:06:10.1196,,269.52448499999997,-29.102811000000003
MOA-2011-BLG-008,MOA-2,gb9,4,+17:59:47.2044,-29:38:14.2008,,269.94668499999995,-29.637278
MOA-2011-BLG-009,MOA-2,gb9,6,+18:02:52.1222,-29:51:31.0644,,270.71717583333333,-29.858629
MOA-2011-BLG-010,MOA-2,gb5,8,+17:56:40.6862,-29:18:26.8164,,269.1695258333333,-29.307449000000002
MOA-2011-BLG-011,MOA-2,gb2,3,+17:51:12.9931,-34:31:23.0340,,267.80413791666666,-34.523065
MOA-2011-BLG-012,MOA-2,gb5,2,+17:52:37.1354,-28:59:03.8616,,268.1547308333333,-28.984406
MOA-2011-BLG-013,MOA-2,gb15,7,+18:08:39.9550,-26:05:18.6360,,272.16647916666665,-26.08851
MOA-2011-BLG-014,MOA-2,gb15,7,+18:06:36.2258,-26:01:05.1276,,271.6509408333333,-26.018091
MOA-2011-BLG-015,MOA-2,gb3,2,+17:51:27.4315,-32:27:56.5704,CV,267.86429791666666,-32.465714000000006
MOA-2011-BLG-016,MOA-2,gb10,1,+17:59:06.4406,-26:46:44.7636,CV,269.77683583333334,-26.779101
MOA-2011-BLG-017,MOA-2,gb14,2,+18:04:54.2131,-27:16:41.8080,CV,271.22588791666664,-27.27828
MOA-2011-BLG-018,MOA-2,gb21,5,+18:15:35.7725,-22:38:30.4224,,273.8990520833333,-22.641784
MOA-2011-BLG-019,MOA-2,gb3,10,+17:56:32.6782,-31:54:01.1088,,269.13615916666663,-31.900308
MOA-2011-BLG-020,MOA-2,gb13,6,+18:07:12.7481,-29:47:12.9408,,271.8031170833333,-29.786928000000003
MOA-2011-BLG-021,MOA-2,gb9,3,+17:58:06.4344,-29:14:07.8216,,269.52680999999995,-29.235506
MOA-2011-BLG-022,MOA-2,gb4,9,+17:55:29.1946,-30:37:31.5048,,268.8716441666666,-30.625418
MOA-2011-BLG-023,MOA-2,gb5,7,+17:55:23.6124,-29:44:21.2604,,268.84838499999995,-29.739239
MOA-2011-BLG-024,MOA-2,gb8,10,+18:01:35.4533,-30:18:15.3072,,270.3977220833333,-30.304252
MOA-2011-BLG-025,MOA-2,gb5,5,+17:53:17.9386,-30:02:28.9572,unknown,268.3247441666666,-30.041377
MOA-2011-BLG-026,MOA-2,gb1,2,+17:46:46.5029,-33:56:29.4720,,266.6937620833333,-33.94152
MOA-2011-BLG-027,MOA-2,gb13,2,+18:05:19.9433,-28:45:14.0220,,271.3330970833333,-28.753895
MOA-2011-BLG-028,MOA-2,gb13,3,+18:03:24.9571,-29:12:48.2760,,270.85398791666665,-29.21341
MOA-2011-BLG-029,MOA-2,gb14,4,+18:03:19.2175,-27:43:25.0140,CV,270.83007291666667,-27.723615
MOA-2011-BLG-030,MOA-2,gb14,5,+18:04:05.2426,-28:10:00.4044,,271.0218441666666,-28.166779000000002
MOA-2011-BLG-031,MOA-2,gb14,9,+18:07:04.8415,-27:10:00.8184,,271.77017291666664,-27.166894000000003
MOA-2011-BLG-032,MOA-2,gb15,6,+18:06:48.0384,-26:26:01.5180,,271.70016,-26.433755
MOA-2011-BLG-033,MOA-2,gb16,4,+18:11:32.8294,-29:33:29.8620,,272.88678916666663,-29.558295
MOA-2011-BLG-034,MOA-2,gb17,3,+18:10:12.2321,-27:32:02.3892,,272.5509670833333,-27.533997000000003
MOA-2011-BLG-035,MOA-2,gb18,3,+18:11:57.8016,-25:39:53.1108,CV,272.99083999999993,-25.664752999999997
MOA-2011-BLG-036,MOA-2,gb18,6,+18:13:45.4358,-26:28:58.1088,,273.4393158333333,-26.482808
MOA-2011-BLG-037,MOA-2,gb18,6,+18:12:58.6937,-26:33:28.9080,,273.2445570833333,-26.558030000000002
MOA-2011-BLG-038,MOA-2,gb3,6,+17:54:35.8836,-33:34:11.6256,CV,268.64951499999995,-33.569896
MOA-2011-BLG-039,MOA-2,gb4,9,+17:55:55.8283,-30:33:39.5748,,268.98261791666664,-30.560993
MOA-2011-BLG-040,MOA-2,gb5,3,+17:54:00.0245,-29:06:05.7024,,268.50010208333333,-29.101584000000003
MOA-2011-BLG-041,MOA-2,gb5,5,+17:52:07.5374,-30:02:22.6932,,268.03140583333334,-30.039637000000003
MOA-2011-BLG-042,MOA-2,gb5,8,+17:55:15.5083,-29:15:58.1652,,268.8146179166667,-29.266157
MOA-2011-BLG-043,MOA-2,gb7,1,+17:57:40.8600,-32:10:47.2296,,269.42024999999995,-32.179786
MOA-2011-BLG-044,MOA-2,gb7,4,+17:59:11.8848,-33:03:54.1368,CV,269.79952,-33.065037999999994
MOA-2011-BLG-045,MOA-2,gb8,5,+17:57:53.2433,-31:42:21.9132,,269.4718470833333,-31.706087
MOA-2011-BLG-046,MOA-2,gb9,1,+17:58:51.4459,-28:34:36.5088,,269.7143579166666,-28.576808
MOA-2011-BLG-047,MOA-2,gb9,10,+18:02:03.6293,-28:25:30.8172,CV,270.5151220833333,-28.425227
MOA-2011-BLG-048,MOA-2,gb9,2,+17:58:18.3624,-28:49:07.5540,,269.5765099999999,-28.818765
MOA-2011-BLG-049,MOA-2,gb13,5,+18:03:32.9064,-29:49:42.6972,,270.88711,-29.828527
MOA-2011-BLG-050,MOA-2,gb4,2,+17:51:28.3255,-30:46:45.8328,CV,267.8680229166667,-30.779398
