Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2008-BLG-001,MOA-2,gb5,10,17:54:41.33,-28:35:19.01,,268.6722083333333,-28.588613888888887
MOA-2008-BLG-002,MOA-2,gb2,10,17:55:37.24,-33:55:57.38,,268.9051666666667,-33.932605555555554
MOA-2008-BLG-003,MOA-2,gb9,3,17:57:16.84,-29:23:43.53,,269.32016666666664,-29.395425
MOA-2008-BLG-004,MOA-2,gb9,5,17:58:33.35,-30:04:03.71,,269.6389583333333,-30.067697222222222
MOA-2008-BLG-005,MOA-2,gb5,10,17:54:39.54,-28:26:31.10,,268.6647499999999,-28.441972222222223
MOA-2008-BLG-006,MOA-2,gb5,2,17:52:39.22,-28:54:02.94,,268.16341666666665,-28.900816666666664
MOA-2008-BLG-007,MOA-2,gb5,6,17:55:57.21,-29:52:52.60,,268.988375,-29.88127777777778
MOA-2008-BLG-008,MOA-2,gb9,8,18:00:29.45,-29:23:47.92,,270.12270833333326,-29.396644444444444
MOA-2008-BLG-009,MOA-2,gb3,10,17:55:23.92,-32:04:12.26,,268.8496666666666,-32.07007222222222
MOA-2008-BLG-010,MOA-2,gb3,4,17:53:20.39,-33:12:54.95,,268.3349583333333,-33.21526388888889
MOA-2008-BLG-011,MOA-2,gb5,6,17:55:57.21,-29:52:52.46,,268.988375,-29.88123888888889
MOA-2008-BLG-012,MOA-2,gb6,6,17:54:59.54,-28:09:02.56,,268.7480833333333,-28.15071111111111
MOA-2008-BLG-013,MOA-2,gb8,10,18:00:14.34,-30:18:52.83,,270.05974999999995,-30.314675
MOA-2008-BLG-014,MOA-2,gb9,3,17:58:10.68,-29:15:53.51,,269.5444999999999,-29.26486388888889
MOA-2008-BLG-015,MOA-2,gb9,4,17:57:13.77,-29:40:47.52,,269.3073749999999,-29.67986666666667
MOA-2008-BLG-016,MOA-2,gb1,4,17:44:38.50,-34:41:44.44,,266.1604166666666,-34.695677777777775
MOA-2008-BLG-017,MOA-2,gb4,5,17:53:48.81,-31:32:45.85,,268.45337499999994,-31.546069444444445
MOA-2008-BLG-018,MOA-2,gb5,2,17:53:16.31,-28:51:02.21,,268.31795833333325,-28.85061388888889
MOA-2008-BLG-019,MOA-2,gb9,10,18:01:55.58,-28:37:43.41,,270.4815833333333,-28.628725
MOA-2008-BLG-020,MOA-2,gb9,4,17:59:04.24,-29:33:19.14,,269.7676666666666,-29.555316666666666
MOA-2008-BLG-021,MOA-2,gb4,9,17:56:13.63,-30:47:01.88,,269.05679166666664,-30.783855555555558
MOA-2008-BLG-022,MOA-2,gb8,7,18:01:02.29,-31:22:29.29,,270.2595416666666,-31.374802777777777
MOA-2008-BLG-023,MOA-2,gb9,4,17:59:31.86,-29:29:37.13,,269.88275,-29.493647222222222
MOA-2008-BLG-024,MOA-2,gb6,5,17:53:00.43,-28:19:51.82,,268.25179166666663,-28.33106111111111
MOA-2008-BLG-025,MOA-2,gb17,6,18:12:010.00,-28:15:34.11,,273.04166666666663,-28.259475
MOA-2008-BLG-026,MOA-2,gb9,4,17:58:43.05,-29:45:14.74,,269.67937499999994,-29.754094444444444
MOA-2008-BLG-027,MOA-2,gb19,10,18:18:17.87,-24:51:12.01,,274.57445833333327,-24.853336111111112
MOA-2008-BLG-028,MOA-2,gb5,5,17:53:06.61,-29:48:20.00,,268.2775416666666,-29.805555555555557
MOA-2008-BLG-029,MOA-2,gb7,1,17:57:13.84,-32:04:05.24,,269.3076666666666,-32.06812222222223
MOA-2008-BLG-030,MOA-2,gb13,8,18:08:20.94,-29:12:41.47,,272.08725,-29.211519444444445
MOA-2008-BLG-031,MOA-2,gb15,10,18:07:34.58,-25:06:57.93,,271.8940833333333,-25.11609166666667
MOA-2008-BLG-032,MOA-2,gb4,3,17:53:34.60,-31:01:12.08,,268.39416666666665,-31.02002222222222
MOA-2008-BLG-033,MOA-2,gb10,1,17:57:41.80,-26:49:22.84,,269.4241666666666,-26.82301111111111
