Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2014-BLG-0023,BLG505.13,205783,17:56:37.28,-29:19:47.5,2456684.101,2014-01-26.60,9.543,0.307,3.368,1.319,1.0,18.439,18.439,269.1553333333333,-29.32986111111111
2014-BLG-0024,BLG505.16,145705,17:54:34.13,-29:16:08.4,2456713.346,2014-02-24.85,225.328,0.282,3.657,1.408,0.079,17.165,19.92,268.64220833333326,-29.269
2014-BLG-0025,BLG505.21,213429,17:57:15.03,-28:57:32.4,2456684.472,2014-01-26.97,16.271,1.067,1.297,0.283,1.0,15.419,15.419,269.31262499999997,-28.959
2014-BLG-0026,BLG505.28,123358,17:58:09.19,-28:49:56.8,2456696.65,2014-02-08.15,80.389,0.008,130.4,5.288,0.031,18.217,21.971,269.53829166666657,-28.832444444444445
2014-BLG-0027,BLG500.19,192378,17:53:12.34,-28:19:45.8,2456714.501,2014-02-26.00,36.081,1.14,1.257,0.249,1.0,17.497,17.497,268.3014166666666,-28.32938888888889
2014-BLG-0028,BLG500.20,31216,17:52:58.13,-28:23:24.4,2456790.371,2014-05-12.87,472.648,0.366,2.865,1.143,1.0,20.294,20.294,268.24220833333334,-28.39011111111111
2014-BLG-0029,BLG500.24,43866,17:49:39.11,-28:26:55.2,2456698.773,2014-02-10.27,79.572,0.259,3.952,1.492,1.0,20.848,20.848,267.4129583333333,-28.448666666666668
2014-BLG-0030,BLG501.06,110587,17:50:20.83,-30:12:43.5,2456758.111,2014-04-10.61,193.846,0.242,4.216,1.562,0.366,18.778,19.87,267.5867916666666,-30.212083333333332
2014-BLG-0031,BLG504.05,21185,17:57:08.97,-28:29:24.2,2456679.711,2014-01-22.21,30.683,0.668,1.737,0.599,1.0,18.459,18.459,269.287375,-28.490055555555557
2014-BLG-0032,BLG504.24,29258,17:55:44.84,-27:41:55.3,2456756.075,2014-04-08.57,60.159,0.227,4.483,1.629,0.919,17.984,18.076,268.9368333333333,-27.698694444444445
2014-BLG-0033,BLG504.25,53665,17:54:38.08,-27:56:24.0,2456714.69,2014-02-26.19,119.611,0.365,2.877,1.147,0.249,18.192,19.701,268.6586666666666,-27.94
2014-BLG-0034,BLG511.06,99255,18:01:29.97,-27:59:49.5,2456693.868,2014-02-05.37,14.88,0.33,3.148,1.245,0.432,18.265,19.177,270.3748749999999,-27.997083333333336
2014-BLG-0035,BLG511.08,143322,18:05:33.01,-27:38:45.0,2456689.821,2014-02-01.32,2.49,0.951,1.379,0.349,1.0,13.533,13.533,271.3875416666666,-27.645833333333332
2014-BLG-0036,BLG511.21,99171,18:02:59.11,-27:07:16.4,2456690.872,2014-02-02.37,26.808,0.016,63.37,4.505,0.706,19.68,20.059,270.74629166666665,-27.121222222222222
2014-BLG-0037,BLG511.24,89484,18:00:55.85,-27:16:56.1,2456694.274,2014-02-05.77,35.528,0.115,8.754,2.355,0.133,14.293,16.482,270.23270833333333,-27.282249999999998
2014-BLG-0038,BLG511.30,99827,18:02:04.88,-27:01:55.3,2456694.573,2014-02-06.07,16.015,1.288,1.194,0.193,1.0,16.902,16.902,270.5203333333333,-27.032027777777778
2014-BLG-0039,BLG500.09,121010,17:53:59.49,-28:49:41.6,2456708.906,2014-02-20.41,0.036,0.508,2.152,0.832,1.0,16.425,16.425,268.49787499999996,-28.828222222222223
2014-BLG-0040,BLG504.18,172243,17:59:25.99,-27:53:31.2,2456697.984,2014-02-09.48,7.762,0.257,3.985,1.501,0.117,14.893,17.22,269.8582916666667,-27.892
2014-BLG-0041,BLG504.28,73505,17:58:22.54,-27:32:00.9,2456693.321,2014-02-04.82,76.841,0.478,2.269,0.889,0.042,15.774,19.205,269.59391666666664,-27.533583333333336
2014-BLG-0042,BLG505.05,214531,17:56:38.65,-29:37:15.6,2456726.323,2014-03-09.82,45.408,0.166,6.084,1.961,1.0,19.662,19.662,269.1610416666666,-29.621000000000002
2014-BLG-0043,BLG511.10,87097,18:04:28.99,-27:25:43.7,2455916.001,2011-12-20.50,35.78,0.71,1.662,0.552,1.0,17.982,17.982,271.1207916666666,-27.428805555555556
2014-BLG-0044,BLG511.25,93929,18:00:09.97,-27:16:33.4,2456736.255,2014-03-19.75,471.085,0.096,10.422,2.545,0.103,18.576,21.048,270.0415416666666,-27.275944444444445
2014-BLG-0045,BLG512.18,165501,18:04:59.51,-28:35:19.5,2456697.081,2014-02-08.58,43.919,0.072,13.88,2.856,0.077,15.502,18.283,271.24795833333326,-28.588749999999997
2014-BLG-0046,BLG512.28,5417,18:04:03.77,-28:15:04.3,2456667.807,2014-01-10.31,27.028,0.803,1.528,0.461,1.0,14.948,14.948,271.0157083333333,-28.251194444444444
2014-BLG-0047,BLG512.31,150918,18:01:29.96,-27:59:49.5,2456693.866,2014-02-05.37,14.756,0.344,3.031,1.204,0.44,18.308,19.2,270.3748333333333,-27.997083333333336
2014-BLG-0048,BLG534.03,53894,17:52:45.26,-31:32:38.6,2456697.689,2014-02-09.19,6.52,1.054,1.306,0.29,1.0,17.295,17.295,268.1885833333333,-31.544055555555556
2014-BLG-0049,BLG501.05,108285,17:51:03.52,-30:18:08.6,2456637.193,2013-12-10.69,78.549,0.704,1.672,0.558,0.534,17.416,18.097,267.76466666666664,-30.30238888888889
2014-BLG-0050,BLG512.15,122562,18:00:56.46,-28:51:46.2,2456703.669,2014-02-15.17,10.524,0.357,2.932,1.168,1.0,18.861,18.861,270.23524999999995,-28.862833333333334
2014-BLG-0051,BLG513.29,143805,18:02:47.54,-29:15:46.0,2456702.99,2014-02-14.49,13.81,0.353,2.965,1.18,1.0,19.282,19.282,270.69808333333333,-29.262777777777778
2014-BLG-0052,BLG534.31,85126,17:50:16.95,-30:41:29.8,2456696.66,2014-02-08.16,15.403,0.143,7.023,2.116,0.163,19.323,21.292,267.57062499999995,-30.69161111111111
2014-BLG-0053,BLG611.13,91094,17:34:46.47,-27:26:18.0,2456693.566,2014-02-05.07,17.116,1.345,1.175,0.175,1.0,17.67,17.67,263.69362499999994,-27.438333333333333
2014-BLG-0054,BLG501.07,7678,17:50:05.23,-30:23:08.6,2456697.188,2014-02-08.69,37.543,0.176,5.762,1.901,0.084,18.701,21.389,267.5217916666666,-30.38572222222222
2014-BLG-0055,BLG505.12,193876,17:57:17.24,-29:23:11.0,2456676.543,2014-01-19.04,48.638,0.42,2.537,1.011,1.0,19.777,19.777,269.3218333333333,-29.386388888888888
2014-BLG-0056,BLG512.09,11811,18:05:28.95,-28:48:35.1,2456728.562,2014-03-12.06,88.93,1.256,1.206,0.204,1.0,17.379,17.379,271.37062499999996,-28.80975
2014-BLG-0057,BLG512.09,156645,18:05:06.49,-28:37:45.4,2456701.994,2014-02-13.49,24.377,0.005,212.7,5.819,0.315,19.238,20.491,271.2770416666666,-28.629277777777776
2014-BLG-0058,BLG513.19,77714,18:04:28.40,-29:49:22.5,2456672.501,2014-01-15.00,16.224,0.75,1.599,0.51,1.0,15.92,15.92,271.1183333333333,-29.822916666666668
2014-BLG-0059,BLG501.11,32551,17:52:58.75,-29:54:38.1,2456701.444,2014-02-12.94,5.468,0.373,2.818,1.125,0.246,15.51,17.034,268.24479166666663,-29.91058333333333
2014-BLG-0060,BLG505.06,191006,17:55:50.99,-29:44:34.1,2456704.894,2014-02-16.39,12.314,0.949,1.381,0.35,1.0,18.285,18.285,268.9624583333333,-29.742805555555556
2014-BLG-0061,BLG505.15,184107,17:55:09.59,-29:26:47.4,2458727.109,2019-08-31.61,389557.306,0.009,114.1,5.144,1.0,24.227,24.227,268.78995833333335,-29.4465
2014-BLG-0062,BLG505.16,78877,17:54:43.40,-29:19:53.6,2456713.781,2014-02-25.28,18.403,0.101,9.914,2.491,0.814,17.748,17.971,268.6808333333333,-29.331555555555557
2014-BLG-0063,BLG512.11,80674,18:03:55.08,-28:47:19.0,2456694.95,2014-02-06.45,28.839,0.759,1.587,0.502,1.0,18.998,18.998,270.9795,-28.788611111111113
2014-BLG-0064,BLG535.12,95856,17:51:35.09,-32:26:06.1,2456704.92,2014-02-16.42,9.602,1.335,1.178,0.178,1.0,16.652,16.652,267.89620833333333,-32.435027777777776
2014-BLG-0065,BLG603.11,125796,17:46:19.18,-34:26:03.9,2456669.448,2014-01-11.95,50.973,1.192,1.233,0.227,1.0,17.152,17.152,266.57991666666663,-34.434416666666664
2014-BLG-0066,BLG500.13,23697,17:51:31.17,-28:40:43.4,2456707.914,2014-02-19.41,31.413,0.306,3.384,1.324,0.308,18.835,20.113,267.87987499999997,-28.678722222222223
2014-BLG-0067,BLG500.31,22450,17:50:41.09,-28:01:44.0,2456879.889,2014-08-10.39,117.994,1.401,1.158,0.16,1.0,13.816,13.816,267.6712083333333,-28.028888888888886
2014-BLG-0068,BLG513.03,80534,18:03:39.52,-30:23:04.0,2456730.938,2014-03-14.44,76.755,0.365,2.877,1.147,0.135,17.579,19.757,270.9146666666667,-30.384444444444444
2014-BLG-0069,BLG513.30,86721,18:02:18.63,-29:24:39.8,2456699.822,2014-02-11.32,22.872,1.336,1.178,0.178,1.0,18.169,18.169,270.577625,-29.411055555555553
2014-BLG-0070,BLG500.11,19484,17:52:58.11,-28:46:08.7,2456704.155,2014-02-15.65,33.428,0.219,4.656,1.67,0.45,19.714,20.581,268.242125,-28.76908333333333
2014-BLG-0071,BLG502.01,100515,17:53:53.27,-33:57:52.9,2456681.14,2014-01-23.64,19.45,0.0,9809.5,9.979,1.0,17.881,17.881,268.47195833333325,-33.96469444444445
2014-BLG-0072,BLG502.09,32598,17:54:09.95,-33:33:57.9,2456690.605,2014-02-02.10,310.311,0.026,38.347,3.959,0.043,17.726,21.137,268.5414583333333,-33.56608333333333
2014-BLG-0073,BLG502.19,120848,17:53:06.97,-33:17:12.8,2456700.357,2014-02-11.86,15.962,0.611,1.857,0.672,1.0,18.279,18.279,268.2790416666666,-33.28688888888889
2014-BLG-0074,BLG604.30,94428,17:44:43.70,-34:48:06.8,2456697.563,2014-02-09.06,128.284,0.274,3.746,1.434,0.17,15.982,17.903,266.1820833333333,-34.80188888888889
2014-BLG-0075,BLG500.08,40375,17:55:00.60,-28:40:31.1,2456734.124,2014-03-17.62,52.58,0.187,5.426,1.836,1.0,19.35,19.35,268.75249999999994,-28.675305555555557
2014-BLG-0076,BLG507.08,69586,18:00:27.94,-31:44:36.3,2456661.501,2014-01-04.00,23.324,0.614,1.851,0.668,1.0,15.925,15.925,270.1164166666666,-31.74341666666667
2014-BLG-0077,BLG508.14,92874,17:56:01.41,-32:59:44.3,2456703.926,2014-02-15.43,105.385,0.854,1.47,0.418,1.0,18.391,18.391,269.00587499999995,-32.99563888888889
2014-BLG-0078,BLG508.14,95875,17:56:00.49,-32:59:38.8,2456690.625,2014-02-02.12,40.824,0.522,2.106,0.809,1.0,19.618,19.618,269.0020416666666,-32.99411111111111
2014-BLG-0079,BLG514.16,15392,18:00:29.36,-31:14:41.9,2456694.614,2014-02-06.11,12.666,1.651,1.104,0.107,1.0,16.031,16.031,270.1223333333333,-31.244972222222223
2014-BLG-0080,BLG514.17,20838,18:06:16.72,-30:52:04.4,2456684.857,2014-01-27.36,39.929,0.254,4.034,1.514,0.792,14.727,14.98,271.56966666666665,-30.86788888888889
2014-BLG-0081,BLG504.05,91970,17:56:51.74,-28:25:35.7,2456699.165,2014-02-10.66,14.949,0.708,1.664,0.553,1.0,18.834,18.834,269.2155833333333,-28.426583333333333
2014-BLG-0082,BLG505.17,45110,18:00:39.77,-28:56:00.2,2456722.872,2014-03-06.37,23.704,0.299,3.454,1.346,0.714,18.041,18.407,270.16570833333327,-28.93338888888889
2014-BLG-0083,BLG506.02,132338,17:58:38.92,-30:53:24.3,2456706.119,2014-02-17.62,12.975,0.221,4.615,1.661,1.0,19.77,19.77,269.6621666666666,-30.890083333333333
2014-BLG-0084,BLG522.01,98786,18:15:50.58,-26:31:48.2,2456676.698,2014-01-19.20,98.411,0.306,3.383,1.323,0.654,17.998,18.459,273.96074999999996,-26.530055555555556
2014-BLG-0085,BLG501.07,72070,17:49:36.80,-30:11:33.8,2456784.916,2014-05-07.42,0.003,0.008,119.3,5.192,1.0,19.034,19.034,267.4033333333333,-30.192722222222223
2014-BLG-0086,BLG506.32,48423,17:55:32.43,-30:05:57.9,2456707.331,2014-02-18.83,23.186,0.248,4.13,1.54,0.2,18.734,20.48,268.885125,-30.099416666666666
2014-BLG-0087,BLG512.15,78159,18:01:01.11,-28:47:49.2,2456708.008,2014-02-19.51,15.085,0.301,3.43,1.338,0.232,17.977,19.565,270.2546249999999,-28.797
2014-BLG-0088,BLG512.29,110567,18:03:06.37,-28:00:25.9,2456701.985,2014-02-13.48,6.681,0.099,10.167,2.518,0.04,16.753,20.247,270.7765416666667,-28.007194444444444
2014-BLG-0089,BLG515.01,28131,18:05:38.25,-32:52:44.0,2456675.719,2014-01-18.22,32.84,1.068,1.297,0.283,1.0,17.515,17.515,271.40937499999995,-32.87888888888889
2014-BLG-0090,BLG515.04,122444,18:03:04.10,-32:44:34.2,2456690.651,2014-02-02.15,13.605,0.0,16270.0,10.528,1.0,18.782,18.782,270.7670833333333,-32.74283333333334
2014-BLG-0091,BLG534.27,179773,17:53:01.91,-30:28:29.3,2456703.302,2014-02-14.80,19.411,1.074,1.293,0.279,1.0,18.551,18.551,268.2579583333333,-30.474805555555555
2014-BLG-0092,BLG580.25,55247,18:05:31.47,-25:30:15.0,2456691.602,2014-02-03.10,14.625,1.083,1.288,0.275,1.0,17.219,17.219,271.38112499999994,-25.504166666666666
2014-BLG-0093,BLG501.03,64294,17:52:45.80,-30:19:00.4,2456709.288,2014-02-20.79,3.795,0.228,4.478,1.628,1.0,16.08,16.08,268.19083333333333,-30.316777777777776
2014-BLG-0094,BLG502.15,85961,17:49:17.10,-33:47:14.5,2456707.052,2014-02-18.55,33.878,0.178,5.689,1.888,0.171,19.044,20.96,267.32124999999996,-33.78736111111111
2014-BLG-0095,BLG505.10,97408,17:58:59.99,-29:16:29.7,2456710.09,2014-02-21.59,11.246,1.314,1.185,0.184,1.0,17.396,17.396,269.74995833333327,-29.274916666666666
2014-BLG-0096,BLG511.07,56482,18:01:05.00,-27:55:36.5,2456739.752,2014-03-23.25,24.214,1.482,1.138,0.14,1.0,13.643,13.643,270.2708333333333,-27.926805555555557
2014-BLG-0097,BLG513.28,146978,18:03:30.37,-29:20:03.4,2456705.033,2014-02-16.53,5.398,0.412,2.58,1.029,1.0,18.934,18.934,270.8765416666667,-29.33427777777778
2014-BLG-0098,BLG520.04,48640,18:08:36.97,-29:48:13.6,2456714.351,2014-02-25.85,52.45,0.464,2.325,0.916,0.146,15.225,17.313,272.1540416666666,-29.80377777777778
2014-BLG-0099,BLG504.11,47716,17:58:25.76,-28:16:47.4,2456873.346,2014-08-03.85,112.667,0.423,2.518,1.003,1.0,16.681,16.681,269.6073333333333,-28.279833333333332
2014-BLG-0100,BLG518.16,157585,18:05:28.06,-26:52:22.0,2456707.271,2014-02-18.77,80.621,0.044,22.493,3.38,0.35,19.231,20.371,271.36691666666667,-26.872777777777777
2014-BLG-0101,BLG518.30,93795,18:07:37.97,-26:14:32.1,2456702.071,2014-02-13.57,21.271,0.416,2.556,1.019,1.0,19.451,19.451,271.9082083333333,-26.242250000000002
2014-BLG-0102,BLG519.25,42427,18:05:43.62,-27:59:20.4,2456708.206,2014-02-19.71,65.513,0.618,1.842,0.663,0.188,15.337,17.151,271.43174999999997,-27.989
2014-BLG-0103,BLG519.31,162638,18:06:53.75,-27:27:05.0,2456704.407,2014-02-15.91,125.826,0.029,33.972,3.828,0.077,18.163,20.941,271.7239583333333,-27.45138888888889
2014-BLG-0104,BLG603.13,4397,17:45:14.80,-34:24:22.8,2456715.715,2014-02-27.21,11.554,0.144,6.976,2.109,0.422,16.956,17.894,266.31166666666667,-34.40633333333333
2014-BLG-0105,BLG510.26,107082,17:59:30.92,-34:51:02.6,2456620.606,2013-11-24.11,77.761,1.076,1.292,0.279,1.0,17.898,17.898,269.8788333333333,-34.850722222222224
2014-BLG-0106,BLG514.15,53029,18:01:04.73,-31:13:42.5,2456773.842,2014-04-26.34,98.996,0.28,3.673,1.413,0.298,18.395,19.71,270.26970833333326,-31.22847222222222
2014-BLG-0107,BLG515.21,84978,18:03:09.65,-32:10:19.1,2456708.029,2014-02-19.53,12.235,0.676,1.722,0.59,1.0,19.257,19.257,270.79020833333334,-32.17197222222222
2014-BLG-0108,BLG518.25,124230,18:05:29.01,-26:31:59.2,2456729.927,2014-03-13.43,25.562,1.169,1.243,0.236,1.0,16.795,16.795,271.37087499999996,-26.53311111111111
2014-BLG-0109,BLG518.30,17228,18:07:56.65,-26:18:06.1,2456690.111,2014-02-01.61,231.588,0.049,20.628,3.286,0.515,20.093,20.813,271.9860416666666,-26.301694444444447
2014-BLG-0110,BLG520.27,73745,18:10:05.68,-28:42:17.2,2456718.242,2014-03-01.74,9.855,1.051,1.307,0.291,1.0,14.865,14.865,272.52366666666666,-28.704777777777778
2014-BLG-0111,BLG580.06,250,18:07:15.53,-26:09:23.0,2456681.288,2014-01-23.79,28.081,1.051,1.307,0.291,1.0,17.722,17.722,271.8147083333333,-26.156388888888888
2014-BLG-0112,BLG501.05,98685,17:51:02.89,-30:21:30.5,2456711.474,2014-02-22.97,11.705,0.431,2.481,0.986,1.0,18.89,18.89,267.7620416666667,-30.358472222222225
2014-BLG-0113,BLG501.31,53253,17:50:21.76,-29:24:57.6,2456708.832,2014-02-20.33,9.143,0.103,9.73,2.47,0.142,18.655,20.775,267.5906666666666,-29.415999999999997
2014-BLG-0114,BLG504.02,131632,17:58:49.25,-28:28:52.2,2456715.979,2014-02-27.48,14.974,0.752,1.596,0.508,1.0,18.511,18.511,269.7052083333333,-28.481166666666667
2014-BLG-0115,BLG504.05,187577,17:56:37.66,-28:30:56.7,2456858.957,2014-07-20.46,96.363,0.306,3.379,1.322,1.0,17.12,17.12,269.1569166666667,-28.51575
2014-BLG-0116,BLG505.06,209717,17:55:50.87,-29:40:09.8,2456737.399,2014-03-20.90,64.977,0.362,2.894,1.154,0.459,18.844,19.689,268.9619583333333,-29.66938888888889
2014-BLG-0117,BLG505.19,57642,17:59:06.95,-29:11:37.5,2456718.066,2014-03-01.57,15.798,0.211,4.815,1.706,0.593,18.14,18.707,269.7789583333333,-29.19375
2014-BLG-0118,BLG511.08,135745,18:05:45.26,-27:23:49.8,2456709.011,2014-02-20.51,3.207,0.324,3.21,1.266,1.0,18.43,18.43,271.43858333333327,-27.397166666666667
2014-BLG-0119,BLG522.32,17545,18:11:56.80,-25:38:49.4,2456709.767,2014-02-21.27,16.906,0.572,1.955,0.728,1.0,18.983,18.983,272.9866666666666,-25.647055555555553
2014-BLG-0120,BLG523.21,46715,18:14:03.05,-27:22:30.7,2456722.589,2014-03-06.09,113.963,0.256,3.999,1.505,0.206,18.249,19.963,273.5127083333333,-27.375194444444446
2014-BLG-0121,BLG523.30,163817,18:12:56.89,-26:57:36.4,2456725.107,2014-03-08.61,50.269,0.08,12.593,2.75,0.32,18.422,19.658,273.23704166666664,-26.96011111111111
2014-BLG-0122,BLG505.03,93422,17:58:23.00,-29:37:23.1,2456716.259,2014-02-27.76,36.267,0.019,53.36,4.318,0.079,17.82,20.572,269.5958333333333,-29.623083333333334
2014-BLG-0123,BLG507.20,162016,17:57:55.03,-31:32:10.1,2456708.577,2014-02-20.08,12.826,0.189,5.36,1.823,1.0,20.398,20.398,269.47929166666665,-31.53613888888889
2014-BLG-0124,BLG512.22,91397,18:02:29.21,-28:23:46.5,2456836.371,2014-06-27.87,109.832,0.241,4.232,1.566,0.491,17.369,18.142,270.62170833333334,-28.39625
2014-BLG-0125,BLG512.24,221240,18:00:44.58,-28:20:10.7,2456710.351,2014-02-21.85,10.818,0.64,1.793,0.634,1.0,19.169,19.169,270.1857499999999,-28.336305555555555
2014-BLG-0126,BLG638.27,86089,17:52:04.56,-22:17:47.8,2456708.883,2014-02-20.38,78.851,0.035,28.613,3.641,0.093,18.294,20.871,268.01899999999995,-22.296611111111112
2014-BLG-0127,BLG638.30,22783,17:50:18.98,-22:14:08.6,2456682.123,2014-01-24.62,60.809,0.582,1.93,0.714,1.0,17.032,17.032,267.57908333333324,-22.235722222222222
2014-BLG-0128,BLG638.30,75775,17:50:04.82,-22:15:51.1,2456681.021,2014-01-23.52,65.724,0.756,1.591,0.504,1.0,19.127,19.127,267.5200833333333,-22.264194444444446
2014-BLG-0129,BLG504.20,87689,17:58:19.91,-27:43:26.8,2456714.441,2014-02-25.94,61.841,0.082,12.203,2.716,0.108,18.901,21.322,269.5829583333333,-27.72411111111111
2014-BLG-0130,BLG508.29,132964,17:57:12.79,-32:26:11.1,2456712.597,2014-02-24.10,19.334,1.014,1.332,0.311,1.0,18.436,18.436,269.3032916666666,-32.436416666666666
2014-BLG-0131,BLG534.30,16828,17:51:28.32,-30:36:21.4,2456732.881,2014-03-16.38,64.259,0.163,6.212,1.983,0.216,18.847,20.51,267.86799999999994,-30.605944444444447
2014-BLG-0132,BLG506.18,93968,17:59:38.20,-30:24:20.4,2456727.44,2014-03-10.94,25.693,1.778,1.085,0.088,1.0,15.377,15.377,269.90916666666664,-30.405666666666665
2014-BLG-0133,BLG515.31,92388,18:01:42.57,-31:48:02.9,2456714.304,2014-02-25.80,18.42,1.014,1.332,0.311,1.0,18.691,18.691,270.427375,-31.800805555555556
2014-BLG-0134,BLG646.03,17499,18:03:51.99,-26:36:34.4,2456692.889,2014-02-04.39,47.083,0.427,2.497,0.994,0.307,16.242,17.525,270.96662499999996,-26.609555555555556
2014-BLG-0135,BLG501.19,115134,17:53:15.49,-29:49:47.3,2456733.427,2014-03-16.93,24.605,0.193,5.251,1.801,0.588,18.094,18.669,268.3145416666666,-29.829805555555556
2014-BLG-0136,BLG502.21,115119,17:51:28.96,-33:20:25.2,2456714.664,2014-02-26.16,8.528,0.178,5.695,1.889,1.0,19.809,19.809,267.87066666666664,-33.340333333333334
2014-BLG-0137,BLG504.05,75498,17:56:52.34,-28:28:23.9,2456725.882,2014-03-09.38,296.027,0.011,88.271,4.865,0.03,18.004,21.794,269.2180833333333,-28.473305555555555
2014-BLG-0138,BLG507.15,75185,17:55:25.61,-31:45:38.4,2456720.452,2014-03-03.95,38.671,0.036,27.66,3.605,0.186,19.124,20.95,268.8567083333333,-31.760666666666665
2014-BLG-0139,BLG512.14,95119,18:01:49.14,-28:43:12.5,2456722.213,2014-03-05.71,23.469,0.124,8.124,2.274,0.273,18.619,20.03,270.45474999999993,-28.720138888888886
2014-BLG-0140,BLG524.02,24227,18:15:45.40,-29:00:08.1,2456706.823,2014-02-18.32,83.863,0.183,5.524,1.856,0.202,18.258,19.995,273.9391666666666,-29.00225
2014-BLG-0141,BLG525.12,124630,18:13:56.19,-30:00:34.3,2456705.805,2014-02-17.30,57.962,0.421,2.533,1.009,0.242,15.602,17.141,273.48412499999995,-30.009527777777777
2014-BLG-0142,BLG527.16,15507,18:16:37.51,-23:18:05.2,2456725.527,2014-03-09.03,31.274,0.145,6.945,2.104,0.845,18.07,18.253,274.1562916666666,-23.301444444444446
2014-BLG-0143,BLG527.26,59285,18:20:58.63,-22:33:29.5,2456771.491,2014-04-23.99,132.118,0.444,2.414,0.957,0.311,17.555,18.825,275.2442916666666,-22.558194444444446
