Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2014-BLG-0001,BLG501.02,91195,17:53:29.33,-30:13:14.5,2456714.344,2014-02-25.84,32.365,1.491,1.135,0.138,1.0,15.644,15.644,268.37220833333333,-30.220694444444444
2014-BLG-0002,BLG501.09,149927,17:54:01.69,-29:54:41.5,2456686.773,2014-01-29.27,6.303,0.17,5.959,1.938,1.0,16.415,16.415,268.5070416666666,-29.911527777777778
2014-BLG-0003,BLG501.11,204719,17:52:19.59,-29:52:53.0,2456684.83,2014-01-27.33,7.049,0.73,1.63,0.531,1.0,17.859,17.859,268.081625,-29.88138888888889
2014-BLG-0004,BLG501.13,40321,17:51:16.91,-30:07:36.9,2456699.123,2014-02-10.62,34.516,0.236,4.323,1.589,0.055,16.383,19.54,267.82045833333336,-30.126916666666666
2014-BLG-0005,BLG501.14,75926,17:50:28.95,-30:02:11.4,2456692.251,2014-02-03.75,60.922,1.417,1.154,0.155,1.0,16.141,16.141,267.62062499999996,-30.0365
2014-BLG-0006,BLG501.18,20151,17:54:23.85,-29:43:32.1,2456666.457,2014-01-08.96,22.464,0.538,2.056,0.783,1.0,15.331,15.331,268.59937499999995,-29.725583333333333
2014-BLG-0007,BLG501.26,119140,17:53:59.28,-29:26:20.5,2456694.145,2014-02-05.64,23.31,0.074,13.543,2.829,0.269,18.728,20.154,268.49699999999996,-29.439027777777778
2014-BLG-0008,BLG506.06,149673,17:55:57.69,-30:48:16.6,2456693.753,2014-02-05.25,7.839,0.09,11.125,2.616,1.0,18.22,18.22,268.990375,-30.80461111111111
2014-BLG-0009,BLG506.22,56317,17:56:53.83,-30:19:00.3,2456686.604,2014-01-29.10,17.052,0.226,4.512,1.636,1.0,19.596,19.596,269.22429166666666,-30.31675
2014-BLG-0010,BLG506.23,123609,17:55:54.99,-30:10:11.9,2456660.662,2014-01-03.16,221.871,0.312,3.317,1.302,0.375,18.895,19.961,268.97912499999995,-30.169972222222224
2014-BLG-0011,BLG534.09,121289,17:53:56.31,-31:07:29.1,2456687.895,2014-01-30.39,4.883,0.304,3.4,1.329,0.206,16.037,17.752,268.484625,-31.12475
2014-BLG-0012,BLG534.21,103476,17:51:48.56,-30:57:54.5,2456688.845,2014-01-31.34,52.129,0.08,12.55,2.747,0.277,19.225,20.62,267.95233333333334,-30.965138888888887
2014-BLG-0013,BLG534.30,7234,17:51:23.94,-30:41:41.4,2456689.34,2014-01-31.84,18.351,0.432,2.474,0.983,1.0,19.768,19.768,267.84975,-30.694833333333335
2014-BLG-0014,BLG611.06,75847,17:33:58.66,-27:43:17.6,2456695.183,2014-02-06.68,24.71,0.192,5.293,1.809,1.0,19.846,19.846,263.49441666666667,-27.721555555555554
2014-BLG-0015,BLG611.08,60310,17:38:30.58,-27:15:55.0,2456718.76,2014-03-02.26,34.235,0.19,5.335,1.818,0.889,16.736,16.864,264.62741666666665,-27.26527777777778
2014-BLG-0016,BLG611.20,105657,17:36:10.72,-27:03:43.3,2456692.882,2014-02-04.38,13.627,0.11,9.109,2.399,0.424,19.886,20.817,264.04466666666667,-27.06202777777778
2014-BLG-0017,BLG611.21,4603,17:35:45.33,-27:06:14.8,2456699.792,2014-02-11.29,24.67,0.694,1.689,0.569,0.546,16.727,17.384,263.93887499999994,-27.104111111111113
2014-BLG-0018,BLG500.09,55499,17:54:10.23,-28:54:06.4,2456684.084,2014-01-26.58,33.826,0.191,5.296,1.81,1.0,19.562,19.562,268.54262499999993,-28.901777777777777
2014-BLG-0019,BLG500.12,139449,17:51:43.93,-28:44:11.9,2456680.272,2014-01-22.77,104.446,0.12,8.399,2.311,0.367,18.981,20.07,267.93304166666667,-28.73663888888889
2014-BLG-0020,BLG501.13,108342,17:51:11.76,-29:59:22.5,2456692.724,2014-02-04.22,16.055,0.327,3.179,1.256,1.0,20.201,20.201,267.799,-29.989583333333336
2014-BLG-0021,BLG504.07,76698,17:55:29.73,-28:23:45.2,2456724.643,2014-03-08.14,42.837,0.148,6.821,2.085,0.887,15.22,15.35,268.873875,-28.395888888888887
2014-BLG-0022,BLG504.12,25697,17:57:48.98,-28:09:57.2,2456697.07,2014-02-08.57,30.815,0.053,18.822,3.187,0.746,19.628,19.946,269.4540833333333,-28.165888888888887
