Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2013-BLG-0001,BLG500.01,43683,17:54:25.14,-28:59:30.4,2456358.045,2013-03-06.54,36.424,0.148,6.81,2.083,0.197,19.149,20.915,268.60474999999997,-28.991777777777777
2013-BLG-0002,BLG500.02,84623,17:53:30.11,-29:04:15.2,2456342.286,2013-02-18.79,6.139,0.0,28143.0,11.123,1.0,18.684,18.684,268.3754583333333,-29.070888888888888
2013-BLG-0003,BLG500.08,3703,17:55:07.35,-28:53:00.7,2456337.614,2013-02-14.11,13.79,0.004,238.3,5.943,0.397,19.27,20.273,268.780625,-28.88352777777778
2013-BLG-0004,BLG500.08,143978,17:54:42.55,-28:39:50.3,2456331.68,2013-02-08.18,102.767,0.135,7.439,2.179,0.039,17.583,21.107,268.67729166666663,-28.66397222222222
2013-BLG-0005,BLG500.09,57843,17:54:10.08,-28:51:05.2,2456391.806,2013-04-09.31,38.855,0.172,5.888,1.925,0.924,16.709,16.795,268.542,-28.851444444444446
2013-BLG-0006,BLG500.11,46744,17:52:47.11,-28:53:25.9,2456348.574,2013-02-25.07,18.588,0.105,9.569,2.452,0.054,18.234,21.394,268.19629166666664,-28.890527777777777
2013-BLG-0007,BLG500.11,160121,17:52:30.21,-28:45:01.3,2456342.688,2013-02-19.19,34.596,0.174,5.824,1.913,0.413,20.295,21.255,268.125875,-28.75036111111111
2013-BLG-0008,BLG500.19,172129,17:53:10.20,-28:25:42.1,2456347.724,2013-02-24.22,12.289,1.136,1.259,0.25,1.0,16.446,16.446,268.29249999999996,-28.428361111111112
2013-BLG-0009,BLG501.01,51656,17:54:08.45,-30:22:08.8,2456346.048,2013-02-22.55,38.842,0.226,4.511,1.636,0.509,19.06,19.792,268.5352083333333,-30.36911111111111
2013-BLG-0010,BLG501.08,76596,17:54:57.54,-29:58:25.2,2456341.219,2013-02-17.72,13.715,0.417,2.55,1.016,0.678,17.342,17.765,268.73974999999996,-29.973666666666666
2013-BLG-0011,BLG501.18,142141,17:53:55.63,-29:41:35.1,2456358.769,2013-03-07.27,23.366,0.175,5.793,1.907,0.303,18.369,19.666,268.48179166666665,-29.693083333333334
2013-BLG-0012,BLG501.20,149137,17:52:37.78,-29:35:54.4,2456350.681,2013-02-27.18,23.304,0.163,6.206,1.982,1.0,19.301,19.301,268.1574166666666,-29.598444444444443
2013-BLG-0013,BLG501.23,61876,17:50:26.12,-29:48:57.5,2456362.553,2013-03-11.05,22.247,0.422,2.528,1.007,1.0,15.694,15.694,267.6088333333333,-29.81597222222222
2013-BLG-0014,BLG501.26,82282,17:54:10.73,-29:20:16.8,2456351.029,2013-02-27.53,11.989,0.023,43.566,4.098,0.291,19.269,20.611,268.5447083333333,-29.337999999999997
2013-BLG-0015,BLG501.26,84016,17:54:11.28,-29:18:47.7,2456325.48,2013-02-01.98,19.215,0.0,205372.0,13.281,0.107,17.362,19.793,268.54699999999997,-29.31325
2013-BLG-0016,BLG502.06,105007,17:50:06.99,-33:58:58.4,2456337.716,2013-02-14.22,8.226,0.743,1.61,0.517,1.0,17.422,17.422,267.52912499999996,-33.982888888888894
2013-BLG-0017,BLG502.15,101076,17:49:19.85,-33:40:03.4,2456319.815,2013-01-27.32,23.716,1.212,1.224,0.219,1.0,15.977,15.977,267.3327083333333,-33.66761111111111
2013-BLG-0018,BLG502.21,109984,17:51:28.49,-33:21:32.6,2456367.919,2013-03-16.42,46.192,0.347,3.014,1.198,1.0,19.485,19.485,267.86870833333336,-33.35905555555556
2013-BLG-0019,BLG502.23,18660,17:50:28.72,-33:24:26.4,2456347.737,2013-02-24.24,37.577,0.149,6.755,2.074,0.324,20.136,21.361,267.6196666666666,-33.407333333333334
2013-BLG-0020,BLG502.24,68836,17:49:26.02,-33:18:54.5,2456337.18,2013-02-13.68,128.866,0.172,5.892,1.926,0.375,18.642,19.707,267.35841666666664,-33.31513888888889
2013-BLG-0021,BLG502.31,40605,17:50:21.06,-33:11:14.8,2456350.44,2013-02-26.94,25.027,0.159,6.342,2.006,0.042,17.657,21.091,267.5877499999999,-33.18744444444444
2013-BLG-0022,BLG502.32,8543,17:49:44.09,-33:08:18.5,2456352.762,2013-03-01.26,2.375,0.876,1.447,0.401,1.0,16.861,16.861,267.4337083333333,-33.13847222222222
2013-BLG-0023,BLG504.03,184424,17:58:00.92,-28:29:23.3,2456352.513,2013-03-01.01,67.779,0.077,13.087,2.792,0.098,19.003,21.52,269.50383333333326,-28.489805555555556
2013-BLG-0024,BLG504.03,213244,17:58:01.66,-28:19:26.2,2456363.363,2013-03-11.86,21.839,0.105,9.597,2.455,1.0,17.03,17.03,269.5069166666666,-28.323944444444443
2013-BLG-0025,BLG504.04,163207,17:57:30.56,-28:21:03.1,2456354.731,2013-03-03.23,61.362,0.006,159.5,5.507,0.108,18.119,20.534,269.3773333333333,-28.35086111111111
2013-BLG-0026,BLG504.05,57373,17:56:51.80,-28:35:41.4,2456351.302,2013-02-27.80,8.033,0.299,3.457,1.347,1.0,19.909,19.909,269.2158333333333,-28.594833333333334
2013-BLG-0027,BLG504.06,35654,17:56:25.08,-28:24:15.7,2456343.608,2013-02-20.11,10.29,1.218,1.221,0.217,1.0,16.576,16.576,269.1045,-28.40436111111111
2013-BLG-0028,BLG504.06,75724,17:56:10.64,-28:28:13.7,2456320.052,2013-01-27.55,41.04,1.586,1.115,0.119,1.0,16.231,16.231,269.0443333333333,-28.47047222222222
