Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2011-BLG-0001,BLG500.01,129412,17:54:00.05,-29:06:06.0,2455644.193,2011-03-23.69,52.05,0.123,8.163,2.28,1.0,17.154,17.154,268.5002083333333,-29.101666666666667
2011-BLG-0002,BLG500.08,102027,17:54:44.93,-28:54:13.5,2455608.966,2011-02-16.47,20.035,0.189,5.369,1.825,1.0,18.972,18.972,268.6872083333333,-28.90375
2011-BLG-0003,BLG501.07,52013,17:49:39.07,-30:27:08.4,2455611.212,2011-02-18.71,34.101,0.644,1.784,0.628,1.0,19.017,19.017,267.41279166666664,-30.452333333333332
2011-BLG-0004,BLG501.15,61522,17:49:38.40,-29:52:52.3,2455637.915,2011-03-17.41,38.853,0.174,5.817,1.912,0.875,18.299,18.444,267.40999999999997,-29.881194444444446
2011-BLG-0005,BLG501.18,118373,17:54:04.34,-29:48:47.7,2455593.759,2011-02-01.26,85.986,0.155,6.504,2.033,0.213,18.838,20.519,268.51808333333327,-29.81325
2011-BLG-0006,BLG501.27,111319,17:53:16.13,-29:29:35.3,2455611.925,2011-02-19.43,38.615,0.166,6.095,1.962,1.0,18.699,18.699,268.3172083333333,-29.49313888888889
2011-BLG-0007,BLG504.02,112872,17:58:51.48,-28:34:36.9,2455628.113,2011-03-07.61,34.18,0.702,1.675,0.56,1.0,16.292,16.292,269.71449999999993,-28.576916666666666
2011-BLG-0008,BLG505.01,79297,17:59:47.22,-29:38:14.1,2455609.5,2011-02-17.00,27.466,0.064,15.534,2.978,0.161,18.212,20.192,269.94674999999995,-29.637249999999998
2011-BLG-0009,BLG505.10,187936,17:58:43.24,-29:26:11.3,2455607.328,2011-02-14.83,134.331,0.014,72.953,4.658,0.31,19.398,20.67,269.6801666666666,-29.43647222222222
2011-BLG-0010,BLG505.21,161357,17:57:30.03,-28:58:08.6,2455601.16,2011-02-08.66,114.964,0.012,85.39,4.829,0.059,19.409,22.48,269.37512499999997,-28.969055555555553
2011-BLG-0011,BLG506.08,113128,18:00:16.53,-30:32:02.3,2455605.1,2011-02-12.60,19.568,0.82,1.508,0.446,1.0,17.887,17.887,270.06887499999993,-30.533972222222225
2011-BLG-0012,BLG506.30,149907,17:56:28.38,-30:04:30.4,2455631.961,2011-03-11.46,35.38,0.259,3.96,1.494,1.0,17.502,17.502,269.11824999999993,-30.07511111111111
2011-BLG-0013,BLG506.31,97366,17:56:01.78,-30:05:12.8,2455606.721,2011-02-14.22,33.007,0.344,3.038,1.207,0.579,18.68,19.274,269.00741666666664,-30.086888888888886
2011-BLG-0014,BLG511.03,130900,18:03:41.18,-27:45:42.6,2455612.384,2011-02-19.88,21.681,0.508,2.154,0.833,1.0,17.135,17.135,270.92158333333333,-27.761833333333332
2011-BLG-0015,BLG511.08,178639,18:05:30.99,-27:25:59.9,2455595.247,2011-02-02.75,20.838,0.785,1.551,0.476,1.0,17.976,17.976,271.379125,-27.433305555555556
2011-BLG-0016,BLG511.15,70168,18:00:56.43,-27:29:51.9,2455594.85,2011-02-02.35,58.12,0.088,11.35,2.637,0.142,18.213,20.333,270.235125,-27.49775
2011-BLG-0017,BLG511.21,63166,18:03:01.98,-27:07:04.9,2455584.931,2011-01-23.43,26.859,0.0,4225.8,9.065,1.0,18.703,18.703,270.75825,-27.11802777777778
2011-BLG-0018,BLG512.14,215316,18:01:28.23,-28:41:30.2,2455592.797,2011-01-31.30,19.372,0.07,14.415,2.897,1.0,19.606,19.606,270.367625,-28.69172222222222
2011-BLG-0019,BLG611.20,136188,17:36:12.19,-26:53:46.9,2455611.807,2011-02-19.31,93.125,0.068,14.656,2.915,0.491,20.131,20.902,264.05079166666667,-26.896361111111112
2011-BLG-0020,BLG500.03,140029,17:52:37.13,-28:59:03.6,2455624.825,2011-03-04.33,21.471,0.259,3.961,1.495,0.5,16.943,17.696,268.1547083333333,-28.984333333333336
2011-BLG-0021,BLG500.27,28628,17:53:35.25,-27:59:56.2,2455619.372,2011-02-26.87,70.807,0.009,111.6,5.119,0.437,19.441,20.34,268.39687499999997,-27.998944444444444
2011-BLG-0022,BLG501.10,127166,17:53:17.93,-30:02:29.3,2455688.147,2011-05-06.65,53.582,0.874,1.449,0.402,1.0,15.605,15.605,268.32470833333326,-30.041472222222225
2011-BLG-0023,BLG501.13,6334,17:51:28.61,-30:05:53.7,2455613.408,2011-02-20.91,49.692,0.341,3.057,1.213,1.0,18.373,18.373,267.8692083333333,-30.09825
2011-BLG-0024,BLG504.01,58591,17:59:48.30,-28:31:23.4,2455573.603,2011-01-12.10,35.275,0.251,4.085,1.528,1.0,17.782,17.782,269.95125,-28.523166666666665
2011-BLG-0025,BLG504.06,111429,17:56:01.69,-28:36:14.0,2455610.925,2011-02-18.43,21.567,0.065,15.306,2.962,0.141,18.227,20.352,269.0070416666666,-28.60388888888889
2011-BLG-0026,BLG504.07,94995,17:55:34.57,-28:20:16.5,2455609.722,2011-02-17.22,14.604,0.328,3.17,1.252,1.0,19.97,19.97,268.8940416666667,-28.337916666666665
2011-BLG-0027,BLG504.10,83685,17:59:03.33,-28:04:51.4,2455610.647,2011-02-18.15,7.606,1.073,1.294,0.28,1.0,17.655,17.655,269.763875,-28.080944444444444
2011-BLG-0028,BLG504.15,98277,17:55:16.38,-28:10:18.7,2455606.663,2011-02-14.16,3.529,1.744,1.089,0.093,1.0,15.385,15.385,268.81825,-28.171861111111113
2011-BLG-0029,BLG505.02,64080,17:59:01.51,-29:46:13.3,2455587.561,2011-01-26.06,19.223,1.637,1.106,0.11,1.0,15.559,15.559,269.75629166666664,-29.77036111111111
2011-BLG-0030,BLG505.04,172275,17:57:22.74,-29:34:16.8,2455608.356,2011-02-15.86,3.572,0.939,1.389,0.357,1.0,17.75,17.75,269.34475,-29.57133333333333
2011-BLG-0031,BLG505.10,152003,17:58:51.73,-29:19:36.7,2455609.804,2011-02-17.30,5.947,0.792,1.542,0.47,1.0,18.439,18.439,269.7155416666666,-29.32686111111111
2011-BLG-0032,BLG505.13,146606,17:56:40.72,-29:18:26.9,2455610.499,2011-02-18.00,6.058,0.08,12.513,2.743,1.0,17.29,17.29,269.16966666666667,-29.307472222222223
2011-BLG-0033,BLG505.14,206604,17:55:52.85,-29:15:32.1,2455605.199,2011-02-12.70,34.559,0.734,1.624,0.526,0.353,15.336,16.467,268.9702083333333,-29.258916666666668
2011-BLG-0034,BLG505.20,138540,17:58:05.90,-29:06:10.5,2455608.333,2011-02-15.83,10.267,0.381,2.768,1.105,0.191,17.207,19.002,269.5245833333333,-29.10291666666667
2011-BLG-0035,BLG505.28,72543,17:58:23.17,-28:48:38.5,2455601.947,2011-02-09.45,46.008,0.148,6.821,2.085,0.276,18.862,20.262,269.5965416666666,-28.810694444444444
2011-BLG-0036,BLG506.07,101660,17:55:16.68,-31:04:01.1,2455603.089,2011-02-10.59,101.612,0.017,57.325,4.396,0.059,19.46,22.526,268.8195,-31.066972222222223
2011-BLG-0037,BLG506.14,113405,17:55:55.83,-30:33:39.7,2455802.361,2011-08-28.86,206.258,0.133,7.593,2.201,0.55,16.186,16.834,268.982625,-30.561027777777777
