Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2007-LMC-001,LMC122.1,9564,5:07:03.71,-71:17:06.5,2454136.895,2007-02-05.39,36.514,0.089,11.251,2.628,0.515,18.212,18.933,76.76545833333331,-71.28513888888888
2007-BLG-001,BLG101.3,134224,17:53:47.21,-29:44:23.7,2454131.785,2007-01-31.29,22.438,1.261,1.204,0.202,1.0,15.366,15.366,268.4467083333333,-29.739916666666666
2007-BLG-002,BLG101.4,86870,17:54:06.64,-29:37:55.4,2454140.424,2007-02-08.92,212.665,0.075,13.420,2.819,0.239,18.364,19.916,268.5276666666666,-29.632055555555556
2007-BLG-003,BLG104.1,113712,17:59:43.42,-29:40:29.9,2454160.815,2007-03-01.31,26.170,0.163,6.193,1.980,1.0,19.113,19.113,269.9309166666667,-29.674972222222223
2007-BLG-004,BLG104.5,83593,17:58:39.75,-29:16:24.6,2454160.83,2007-03-01.33,13.168,1.373,1.166,0.167,1.0,16.668,16.668,269.665625,-29.2735
2007-BLG-005,BLG105.3,139075,18:02:04.61,-29:20:39.5,2454174.384,2007-03-14.88,82.457,0.117,8.558,2.331,0.515,19.165,19.885,270.5192083333333,-29.344305555555554
2007-BLG-006,BLG105.4,84575,18:02:52.50,-29:15:11.8,2454167.908,2007-03-08.41,-,-,-,-,1.0,19.1,19.1,270.71875,-29.25327777777778
2007-BLG-007,BLG129.8,40639,17:42:42.80,-34:26:27.2,2454159.82,2007-02-28.32,12.192,1.290,1.193,0.192,1.0,16.632,16.632,265.67833333333334,-34.440888888888885
2007-BLG-008,BLG130.5,5773,17:45:22.79,-34:02:40.3,2454198.004,2007-04-07.50,29.872,0.878,1.445,0.400,1.0,17.438,17.438,266.34495833333335,-34.04452777777777
2007-BLG-009,BLG139.2,136107,17:49:21.37,-33:38:24.2,2454168.755,2007-03-09.26,22.120,0.666,1.741,0.602,1.0,17.002,17.002,267.3390416666666,-33.640055555555556
2007-BLG-010,BLG155.1,1741,17:52:25.55,-32:42:59.8,2454162.49,2007-03-02.99,18.713,0.565,1.975,0.739,1.0,18.263,18.263,268.1064583333333,-32.71661111111111
2007-BLG-011,BLG171.2,98166,17:53:36.17,-31:17:05.0,2454147.96,2007-02-16.46,41.895,0.298,3.464,1.349,0.33,18.161,19.365,268.4007083333333,-31.284722222222225
2007-BLG-012,BLG171.6,62228,17:52:37.27,-31:11:35.7,2454142.975,2007-02-11.47,15.447,0.001,800.7,7.259,1.0,18.649,18.649,268.15529166666664,-31.19325
2007-BLG-013,BLG172.3,64828,17:56:15.07,-31:11:14.7,2454188.498,2007-03-29.00,124.033,0.005,196.4,5.733,0.05,16.888,20.136,269.0627916666666,-31.187416666666667
2007-BLG-014,BLG180.6,643,17:51:24.16,-30:37:32.3,2454176.576,2007-03-17.08,29.678,1.087,1.286,0.273,1.0,16.706,16.706,267.85066666666665,-30.62563888888889
2007-BLG-015,BLG181.2,72848,17:55:48.22,-30:45:48.3,2454140.784,2007-02-09.28,8.416,0.044,22.538,3.382,1.0,17.892,17.892,268.95091666666667,-30.763416666666668
2007-BLG-016,BLG184.8,122092,18:02:32.64,-30:49:13.6,2454179.953,2007-03-20.45,29.809,0.858,1.466,0.415,1.0,15.89,15.89,270.63599999999997,-30.820444444444444
2007-BLG-017,BLG194.8,15040,17:50:27.88,-29:40:40.5,2454176.214,2007-03-16.71,37.987,0.715,1.654,0.547,1.0,16.103,16.103,267.61616666666663,-29.67791666666667
2007-BLG-018,BLG195.6,137970,17:52:55.92,-29:05:43.5,2454159.594,2007-02-28.09,38.867,0.411,2.587,1.032,0.201,17.14,18.883,268.233,-29.095416666666665
2007-BLG-019,BLG195.7,145384,17:53:26.04,-29:15:47.0,2454101.276,2006-12-31.78,30.209,0.000,5515.1,9.354,1.0,14.332,14.332,268.35849999999994,-29.263055555555557
2007-BLG-020,BLG195.8,108293,17:53:24.43,-29:26:30.8,2454138.23,2007-02-06.73,34.316,0.668,1.736,0.599,1.0,14.799,14.799,268.35179166666666,-29.44188888888889
2007-BLG-021,BLG206.1,44148,17:59:56.18,-29:07:51.7,2454154.215,2007-02-22.71,44.814,0.000,1332529,15.312,0.962,16.315,16.356,269.98408333333333,-29.131027777777778
2007-BLG-022,BLG208.4,100763,18:05:22.84,-28:38:57.8,2454164.671,2007-03-05.17,25.142,0.651,1.771,0.621,0.45,16.866,17.732,271.3451666666666,-28.64938888888889
2007-BLG-023,BLG215.8,51776,17:58:54.69,-28:31:12.8,2454149.387,2007-02-17.89,22.039,1.247,1.210,0.207,1.0,16.551,16.551,269.7278749999999,-28.52022222222222
2007-BLG-024,BLG223.1,17805,17:59:59.20,-27:58:00.4,2454162.804,2007-03-03.30,13.085,0.723,1.641,0.538,1.0,17.967,17.967,269.99666666666667,-27.966777777777775
2007-BLG-025,BLG224.6,22116,18:01:14.54,-27:40:02.7,2454118.367,2007-01-17.87,32.366,0.001,1831.2,8.157,1.0,18.234,18.234,270.3105833333333,-27.667416666666668
2007-BLG-026,BLG224.8,79005,18:01:23.28,-27:57:22.7,2454163.314,2007-03-03.81,-,-,-,-,1.0,17.904,17.904,270.347,-27.956305555555556
2007-BLG-027,BLG102.3,118182,17:56:21.84,-29:25:12.1,2454158.308,2007-02-26.81,4.544,1.001,1.341,0.318,1.0,18.165,18.165,269.09099999999995,-29.42002777777778
2007-BLG-028,BLG140.7,107345,17:49:21.40,-33:38:24.8,2454168.847,2007-03-09.35,22.243,0.651,1.771,0.620,1.0,16.846,16.846,267.33916666666664,-33.64022222222222
2007-BLG-029,BLG149.7,79920,17:54:56.26,-33:07:43.8,2454158.301,2007-02-26.80,4.737,0.417,2.549,1.016,1.0,18.72,18.72,268.7344166666666,-33.12883333333333
2007-BLG-030,BLG156.5,141592,17:53:59.04,-32:09:48.7,2454173.54,2007-03-14.04,16.775,0.077,13.019,2.786,1.0,18.018,18.018,268.496,-32.16352777777777
2007-BLG-031,BLG164.2,51347,17:56:05.85,-31:56:48.8,2454161.716,2007-03-02.22,7.467,0.712,1.659,0.550,1.0,19.065,19.065,269.02437499999996,-31.94688888888889
2007-BLG-032,BLG164.7,28371,17:55:11.27,-31:57:06.3,2454163.76,2007-03-04.26,9.151,0.648,1.776,0.623,1.0,18.063,18.063,268.7969583333333,-31.95175
2007-BLG-033,BLG173.5,90906,17:58:00.44,-31:01:40.5,2454121.573,2007-01-21.07,57.420,1.637,1.106,0.109,1.0,16.439,16.439,269.5018333333333,-31.027916666666666
2007-BLG-034,BLG180.2,99535,17:52:48.33,-30:42:24.3,2454169.698,2007-03-10.20,10.041,0.414,2.569,1.024,1.0,16.09,16.09,268.201375,-30.70675
2007-BLG-035,BLG185.7,64170,18:05:34.71,-30:44:19.5,2454145.284,2007-02-13.78,1041.851,0.004,270.2,6.079,0.045,19.039,22.41,271.39462499999996,-30.73875
2007-BLG-036,BLG198.1,87459,18:10:25.85,-29:39:53.8,2454160.802,2007-03-01.30,48.336,0.368,2.855,1.139,1.0,18.358,18.358,272.60770833333333,-29.664944444444444
2007-BLG-037,BLG206.5,41578,17:59:46.49,-28:43:03.3,2454174.701,2007-03-15.20,99.183,0.228,4.462,1.624,0.125,18.392,20.647,269.9437083333333,-28.71758333333333
2007-BLG-038,BLG207.1,40760,18:03:43.23,-29:09:42.2,2454159.492,2007-02-27.99,6.700,0.550,2.019,0.763,1.0,18.464,18.464,270.930125,-29.16172222222222
2007-BLG-039,BLG223.5,60462,17:58:24.86,-27:29:39.8,2454158.974,2007-02-27.47,26.226,0.292,3.530,1.370,1.0,19.99,19.99,269.6035833333333,-27.49438888888889
2007-BLG-040,BLG225.4,139618,18:04:36.09,-27:25:42.1,2454309.952,2007-07-28.45,317.628,0.333,3.127,1.238,0.07,14.101,16.991,271.15037499999994,-27.428361111111112
