Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2008-BLG-146,BLG180.1,137397,17:53:22.14,-30:52:48.2,2454566.679,2008-04-10.18,-,-,-,-,1.0,19.009,19.009,268.34225,-30.880055555555558
2008-BLG-147,BLG197.4,79627,18:07:15.87,-29:14:22.5,2454569.708,2008-04-13.21,12.584,1.232,1.216,0.212,1.0,18.135,18.135,271.816125,-29.239583333333336
2008-BLG-148,BLG216.7,211338,18:02:32.84,-28:19:19.4,2454565.848,2008-04-09.35,7.901,0.984,1.353,0.329,1.0,18.073,18.073,270.6368333333333,-28.322055555555554
2008-BLG-149,BLG218.1,82351,18:09:15.12,-28:32:17.2,2454570.053,2008-04-13.55,5.383,0.306,3.379,1.322,1.0,17.085,17.085,272.31299999999993,-28.538111111111114
2008-BLG-150,BLG218.2,1851,18:08:01.57,-28:25:11.4,2454582.359,2008-04-25.86,24.258,0.239,4.270,1.576,1.0,19.102,19.102,272.00654166666664,-28.419833333333333
2008-BLG-151,BLG219.8,35422,18:09:15.12,-28:32:17.2,2454570.087,2008-04-13.59,5.431,0.315,3.295,1.294,1.0,17.075,17.075,272.31299999999993,-28.538111111111114
2008-BLG-152,BLG149.7,39769,17:55:08.06,-33:09:05.0,2454574.685,2008-04-18.18,26.361,0.273,3.760,1.438,0.351,19.113,20.249,268.78358333333335,-33.15138888888889
2008-BLG-153,BLG206.1,123215,18:00:48.71,-29:06:23.9,2454570.237,2008-04-13.74,7.597,0.871,1.452,0.405,1.0,18.392,18.392,270.2029583333333,-29.10663888888889
2008-BLG-154,BLG223.7,14548,17:58:31.55,-27:50:02.9,2454596.716,2008-05-10.22,52.374,0.272,3.777,1.443,1.0,18.985,18.985,269.6314583333333,-27.834138888888887
2008-BLG-155,BLG224.3,90338,18:02:59.39,-27:38:14.6,2454583.942,2008-04-27.44,33.970,0.027,37.022,3.921,1.0,19.073,19.073,270.7474583333333,-27.63738888888889
2008-BLG-156,BLG235.7,131663,18:07:27.30,-27:09:02.4,2454596.291,2008-05-09.79,28.587,1.174,1.241,0.234,1.0,17.191,17.191,271.86375,-27.150666666666666
