Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2012-BLG-001,MOA-2,gb5,7,+17:54:46.3097,-29:30:50.6304,,268.6929570833333,-29.514064
MOA-2012-BLG-002,MOA-2,gb8,9,+18:00:41.1221,-30:47:25.3932,,270.1713420833333,-30.790387000000003
MOA-2012-BLG-003,MOA-2,gb9,5,+17:59:53.6544,-29:47:08.6532,,269.97356,-29.785737
MOA-2012-BLG-004,MOA-2,gb14,4,+18:05:49.2120,-27:49:28.3620,,271.45504999999997,-27.824545
MOA-2012-BLG-005,MOA-2,gb17,7,+18:13:13.1431,-27:48:03.8304,,273.3047629166666,-27.801064
MOA-2012-BLG-006,MOA-2,gb9,8,+18:01:46.2934,-29:06:31.1436,,270.44288916666665,-29.108651000000002
MOA-2012-BLG-007,MOA-2,gb13,1,+18:04:38.9419,-28:25:50.1492,,271.16225791666665,-28.430597000000002
MOA-2012-BLG-008,MOA-2,gb13,9,+18:06:30.1418,-28:44:38.8176,,271.6255908333333,-28.744116
MOA-2012-BLG-009,MOA-2,gb13,1,+18:03:22.4035,-28:23:08.9484,,270.84334791666663,-28.385818999999998
MOA-2012-BLG-010,MOA-2,gb1,3,+17:47:24.6960,-34:07:43.5864,,266.8529,-34.128774
MOA-2012-BLG-011,MOA-2,gb10,8,+18:00:18.7178,-27:21:40.7484,,270.07799083333333,-27.361319
MOA-2012-BLG-012,MOA-2,gb16,10,+18:13:28.4194,-28:32:35.7108,,273.3684141666666,-28.543253
MOA-2012-BLG-013,MOA-2,gb17,4,+18:10:10.8250,-27:43:19.1748,,272.54510416666665,-27.721992999999998
MOA-2012-BLG-014,MOA-2,gb14,4,+18:03:11.3018,-27:40:37.2864,,270.7970908333333,-27.677024000000003
MOA-2012-BLG-015,MOA-2,gb7,1,+17:58:43.1033,-31:59:54.1428,,269.67959708333325,-31.998373
MOA-2012-BLG-016,MOA-2,gb16,4,+18:10:22.5907,-29:26:06.5112,,272.59412791666665,-29.435142
MOA-2012-BLG-017,MOA-2,gb18,4,+18:10:52.4446,-25:57:27.9288,,272.7185191666666,-25.957758
MOA-2012-BLG-018,MOA-2,gb5,5,+17:52:57.2381,-29:52:28.3980,,268.2384920833333,-29.874555
MOA-2012-BLG-019,MOA-2,gb9,5,+17:59:53.7444,-29:47:10.0932,,269.973935,-29.786137
MOA-2012-BLG-020,MOA-2,gb1,7,+17:48:09.3134,-34:32:28.4136,,267.0388058333333,-34.541225999999995
MOA-2012-BLG-021,MOA-2,gb1,9,+17:49:35.1996,-34:02:41.4888,,267.396665,-34.044858
MOA-2012-BLG-022,MOA-2,gb10,3,+17:57:40.9692,-27:29:56.4864,,269.420705,-27.499024000000002
