Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2013-BLG-001,MOA-2,gb1,4,+17:44:41.78,-34:30:23.76,,266.17408333333333,-34.5066
MOA-2013-BLG-002,MOA-2,gb4,4,+17:52:26.78,-31:12:56.75,,268.11158333333333,-31.215763888888887
MOA-2013-BLG-003,MOA-2,gb5,8,+17:54:11.27,-29:18:47.61,,268.54695833333324,-29.313225
MOA-2013-BLG-004,MOA-2,gb2,3,+17:52:39.84,-34:22:09.00,,268.166,-34.369166666666665
MOA-2013-BLG-005,MOA-2,gb2,3,+17:52:47.17,-34:29:25.08,,268.19654166666663,-34.4903
MOA-2013-BLG-006,MOA-2,gb17,4,+18:11:20.59,-27:59:02.49,,272.83579166666664,-27.984025000000003
MOA-2013-BLG-007,MOA-2,gb10,4,+17:59:54.42,-27:47:25.30,,269.97675,-27.790361111111114
MOA-2013-BLG-008,MOA-2,gb5,1,+17:52:24.51,-28:33:48.10,microlensing/cv,268.10212499999994,-28.56336111111111
MOA-2013-BLG-009,MOA-2,gb16,1,+18:11:07.30,-28:28:05.73,,272.7804166666666,-28.46825833333333
MOA-2013-BLG-010,MOA-2,gb2,2,+17:51:53.38,-34:16:30.65,,267.9724166666667,-34.27518055555556
MOA-2013-BLG-011,MOA-2,gb2,3,+17:50:49.51,-34:32:08.38,,267.70629166666663,-34.53566111111111
MOA-2013-BLG-012,MOA-2,gb5,3,+17:52:56.13,-29:21:30.22,,268.23387499999995,-29.358394444444446
MOA-2013-BLG-013,MOA-2,gb8,5,+17:58:13.62,-31:39:19.59,,269.55674999999997,-31.655441666666665
MOA-2013-BLG-014,MOA-2,gb9,8,+18:01:08.07,-29:10:03.61,microlensing/cv,270.283625,-29.167669444444446
MOA-2013-BLG-015,MOA-2,gb1,4,+17:46:48.45,-34:33:32.12,,266.7018749999999,-34.55892222222222
MOA-2013-BLG-016,MOA-2,gb4,8,+17:54:35.22,-31:00:13.73,,268.64675,-31.00381388888889
MOA-2013-BLG-017,MOA-2,gb1,4,+17:47:05.39,-34:36:03.95,microlensing/cv,266.77245833333336,-34.60109722222222
MOA-2013-BLG-018,MOA-2,gb15,5,+18:05:38.93,-26:23:42.62,,271.4122083333333,-26.39517222222222
MOA-2013-BLG-019,MOA-2,gb14,10,+18:08:16.45,-26:54:26.90,,272.06854166666665,-26.90747222222222
MOA-2013-BLG-020,MOA-2,gb1,5,+17:44:47.25,-35:04:32.69,microlensing/cv,266.196875,-35.075747222222226
MOA-2013-BLG-021,MOA-2,gb1,10,+17:49:19.86,-33:40:02.96,microlensing/cv,267.3327499999999,-33.66748888888888
MOA-2013-BLG-022,MOA-2,gb10,5,+17:58:24.93,-28:07:47.99,cv,269.6038749999999,-28.129997222222222
MOA-2013-BLG-023,MOA-2,gb18,5,+18:11:32.20,-26:35:08.36,microlensing/cv,272.88416666666666,-26.585655555555554
MOA-2013-BLG-024,MOA-2,gb5,10,+17:55:31.60,-28:29:30.52,,268.88166666666666,-28.49181111111111
MOA-2013-BLG-025,MOA-2,gb5,3,+17:52:11.62,-29:20:26.01,unknown,268.04841666666664,-29.34055833333333
