Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2014-BLG-001,MOA-2,gb2,4,+17:51:16.99,-34:54:22.89,,267.82079166666665,-34.90635833333333
MOA-2014-BLG-002,MOA-2,gb3,6,+17:54:09.93,-33:33:58.19,,268.54137499999996,-33.56616388888889
MOA-2014-BLG-003,MOA-2,gb4,8,+17:56:26.73,-30:54:45.92,,269.111375,-30.912755555555552
MOA-2014-BLG-004,MOA-2,gb1,3,+17:45:38.20,-34:09:12.13,,266.40916666666664,-34.153369444444444
MOA-2014-BLG-005,MOA-2,gb1,4,+17:46:19.11,-34:26:04.10,microlensing/cv,266.5796249999999,-34.43447222222222
MOA-2014-BLG-006,MOA-2,gb14,4,+18:05:43.61,-27:59:20.80,,271.43170833333323,-27.98911111111111
MOA-2014-BLG-007,MOA-2,gb2,8,+17:55:52.08,-34:34:06.02,,268.967,-34.568338888888896
MOA-2014-BLG-008,MOA-2,gb3,7,+17:54:24.29,-32:57:54.06,cv,268.6012083333333,-32.96501666666667
MOA-2014-BLG-009,MOA-2,gb4,3,+17:51:48.52,-30:57:54.40,,267.95216666666664,-30.96511111111111
MOA-2014-BLG-010,MOA-2,gb5,10,+17:56:55.08,-28:32:24.92,,269.2295,-28.540255555555557
MOA-2014-BLG-011,MOA-2,gb5,10,+17:55:29.77,-28:23:43.97,,268.87404166666664,-28.395547222222223
MOA-2014-BLG-012,MOA-2,gb1,9,+17:50:27.82,-33:57:18.20,unknown,267.61591666666664,-33.95505555555556
MOA-2014-BLG-013,MOA-2,gb12,8,+18:06:16.70,-30:52:04.28,,271.5695833333333,-30.867855555555558
MOA-2014-BLG-014,MOA-2,gb9,2,+17:57:15.01,-28:57:32.00,,269.3125416666666,-28.95888888888889
MOA-2014-BLG-015,MOA-2,gb10,2,+17:59:17.04,-27:12:50.30,microlensing/cv,269.82099999999997,-27.21397222222222
MOA-2014-BLG-016,MOA-2,gb10,9,+18:00:55.86,-27:16:55.55,microlensing/cv,270.23274999999995,-27.28209722222222
MOA-2014-BLG-017,MOA-2,gb10,5,+17:57:48.90,-28:09:57.26,,269.45374999999996,-28.165905555555554
MOA-2014-BLG-018,MOA-2,gb13,1,+18:04:59.45,-28:35:19.61,,271.24770833333326,-28.588780555555555
MOA-2014-BLG-019,MOA-2,gb10,4,+17:59:26.00,-27:53:31.06,,269.8583333333333,-27.89196111111111
MOA-2014-BLG-020,MOA-2,gb10,6,+18:00:38.23,-28:02:03.91,microlensing/cv,270.1592916666666,-28.034419444444445
MOA-2014-BLG-021,MOA-2,gb4,1,+17:53:29.28,-30:13:14.72,microlensing/cv,268.37199999999996,-30.220755555555552
MOA-2014-BLG-022,MOA-2,gb9,2,+17:58:21.67,-28:57:43.55,microlensing/cv,269.5902916666666,-28.962097222222223
MOA-2014-BLG-023,MOA-2,gb9,3,+17:59:38.91,-29:15:52.30,,269.912125,-29.26452777777778
MOA-2014-BLG-024,MOA-2,gb13,6,+18:08:36.92,-29:48:14.03,,272.1538333333333,-29.803897222222222
MOA-2014-BLG-025,MOA-2,gb16,6,+18:13:56.14,-30:00:34.29,,273.48391666666663,-30.009525
MOA-2014-BLG-026,MOA-2,gb13,6,+18:08:44.54,-30:04:58.65,,272.1855833333333,-30.082958333333334
