Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-241,MOA-2,gb17,5,18:11:38.373,-28:03:25.43,,272.90988749999997,-28.05706388888889
MOA-2007-BLG-242,MOA-2,gb3,4,17:51:43.122,-33:08:36.17,,267.929675,-33.14338055555555
MOA-2007-BLG-243,MOA-2,gb7,1,17:57:07.034,-31:59:27.88,,269.2793083333333,-31.99107777777778
MOA-2007-BLG-244,MOA-2,gb4,1,17:51:41.631,-30:26:15.30,,267.92346249999997,-30.437583333333333
MOA-2007-BLG-245,MOA-2,gb12,10,18:06:45.556,-30:18:55.69,,271.6898166666666,-30.315469444444446
MOA-2007-BLG-246,MOA-2,gb10,6,18:00:40.516,-28:09:14.97,,270.1688166666666,-28.15415833333333
MOA-2007-BLG-247,MOA-2,gb10,7,18:03:00.170,-27:56:50.93,,270.7507083333333,-27.947480555555554
MOA-2007-BLG-248,MOA-2,gb14,4,18:02:59.988,-27:56:50.99,,270.74995,-27.94749722222222
MOA-2007-BLG-249,MOA-2,gb18,5,18:11:45.975,-26:26:20.40,,272.9415625,-26.439
MOA-2007-BLG-250,MOA-2,gb14,3,18:04:50.878,-27:21:18.22,,271.2119916666666,-27.355061111111112
MOA-2007-BLG-251,MOA-2,gb20,9,18:18:06.070,-23:21:17.00,,274.52529166666665,-23.354722222222225
MOA-2007-BLG-252,MOA-2,gb8,1,17:59:48.056,-30:25:44.97,,269.9502333333333,-30.429158333333334
MOA-2007-BLG-253,MOA-2,gb20,5,18:15:46.658,-24:21:53.06,,273.9444083333333,-24.36473888888889
MOA-2007-BLG-254,MOA-2,gb2,3,17:52:37.677,-34:38:51.18,,268.1569875,-34.64755
MOA-2007-BLG-255,MOA-2,gb19,1,18:15:43.872,-24:56:51.48,,273.9328,-24.947633333333332
MOA-2007-BLG-256,MOA-2,gb5,10,17:56:07.040,-28:41:37.21,,269.0293333333333,-28.693669444444446
MOA-2007-BLG-257,MOA-2,gb16,9,18:14:59.558,-29:02:37.76,,273.7481583333333,-29.043822222222225
MOA-2007-BLG-258,MOA-2,gb11,3,18:05:43.809,-32:36:13.40,,271.43253749999997,-32.603722222222224
MOA-2007-BLG-259,MOA-2,gb11,7,18:07:18.129,-33:12:40.10,,271.8255375,-33.21113888888889
MOA-2007-BLG-260,MOA-2,gb12,9,18:08:03.538,-30:39:17.44,,272.0147416666666,-30.654844444444443
MOA-2007-BLG-261,MOA-2,gb18,2,18:10:58.693,-25:25:24.93,,272.74455416666666,-25.423591666666667
MOA-2007-BLG-262,MOA-2,gb9,6,18:00:53.105,-30:00:59.31,,270.22127083333334,-30.016475
MOA-2007-BLG-263,MOA-2,gb19,6,18:18:54.865,-26:07:35.22,,274.7286041666666,-26.126450000000002
MOA-2007-BLG-264,MOA-2,gb5,1,17:52:23.907,-28:36:42.40,,268.0996125,-28.611777777777778
MOA-2007-BLG-265,MOA-2,gb9,6,18:00:28.981,-29:47:50.07,,270.12075416666664,-29.797241666666668
MOA-2007-BLG-266,MOA-2,gb11,9,18:08:55.040,-32:28:20.27,,272.22933333333333,-32.472297222222224
MOA-2007-BLG-267,MOA-2,gb14,4,18:03:40.384,-27:49:11.04,,270.9182666666666,-27.819733333333332
MOA-2007-BLG-268,MOA-2,gb13,1,18:03:52.614,-28:26:07.64,,270.96922499999994,-28.435455555555556
MOA-2007-BLG-269,MOA-2,gb5,9,17:55:41.364,-28:55:24.63,,268.92234999999994,-28.923508333333334
MOA-2007-BLG-270,MOA-2,gb13,10,18:08:52.958,-28:35:12.90,,272.2206583333333,-28.586916666666667
MOA-2007-BLG-271,MOA-2,gb13,6,18:07:08.570,-29:51:01.53,,271.7857083333333,-29.850425
