Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2006-BLG-001,MOA-2,gb1,1,17:46:48.87,-33:42:06.9,,266.70362499999993,-33.70191666666667
MOA-2006-BLG-002,MOA-2,gb3,1,17:53:07.45,-31:59:02.4,,268.2810416666666,-31.984
MOA-2006-BLG-003,MOA-2,gb3,7,17:55:22.32,-33:04:08.8,,268.84299999999996,-33.06911111111111
MOA-2006-BLG-004,MOA-2,gb3,10,17:55:31.26,-31:54:34.0,,268.88025,-31.909444444444443
MOA-2006-BLG-005,MOA-2,gb4,1,17:52:46.10,-30:16:14.4,,268.1920833333333,-30.270666666666667
MOA-2006-BLG-006,MOA-2,gb8,1,17:58:43.56,-30:25:00.8,,269.68149999999997,-30.41688888888889
MOA-2006-BLG-007,MOA-2,gb8,10,18:00:55.64,-30:23:01.9,,270.23183333333327,-30.38386111111111
MOA-2006-BLG-008,MOA-2,gb8,10,18:00:16.41,-30:24:11.0,,270.06837499999995,-30.403055555555554
MOA-2006-BLG-009,MOA-2,gb9,6,18:00:15.99,-29:54:51.8,,270.06662499999993,-29.914388888888887
MOA-2006-BLG-010,MOA-2,gb9,8,18:02:43.40,-29:19:54.8,,270.68083333333334,-29.331888888888887
MOA-2006-BLG-011,MOA-2,gb9,9,18:01:02.43,-29:00:57.0,,270.26012499999996,-29.015833333333333
MOA-2006-BLG-012,MOA-2,gb3,3,17:51:30.69,-32:42:25.4,,267.87787499999996,-32.707055555555556
MOA-2006-BLG-013,MOA-2,gb10,2,17:58:53.29,-26:59:31.9,,269.7220416666666,-26.992194444444447
MOA-2006-BLG-014,MOA-2,gb9,10,18:02:04.84,-28:38:43.6,,270.5201666666667,-28.645444444444443
MOA-2006-BLG-015,MOA-2,gb9,9,18:00:40.62,-29:02:20.1,,270.16925,-29.03891666666667
MOA-2006-BLG-016,MOA-2,gb10,2,17:58:53.29,-26:59:31.9,,269.7220416666666,-26.992194444444447
MOA-2006-BLG-017,MOA-2,gb10,3,17:57:39.80,-27:30:48.1,,269.4158333333333,-27.51336111111111
MOA-2006-BLG-018,MOA-2,gb5,3,17:53:18.81,-29:17:15.1,,268.32837499999994,-29.28752777777778
MOA-2006-BLG-019,MOA-2,gb8,3,17:58:18.13,-30:53:25.2,,269.5755416666666,-30.890333333333334
MOA-2006-BLG-020,MOA-2,gb14,1,18:04:57.38,-26:47:17.1,,271.2390833333333,-26.788083333333336
MOA-2006-BLG-021,MOA-2,gb9,6,18:01:20.91,-30:03:12.8,,270.33712499999996,-30.053555555555555
MOA-2006-BLG-022,MOA-2,gb14,4,18:05:11.77,-27:57:20.6,,271.29904166666665,-27.95572222222222
MOA-2006-BLG-023,MOA-2,gb15,1,18:04:22.09,-25:08:28.0,,271.0920416666666,-25.141111111111112
MOA-2006-BLG-024,MOA-2,gb18,1,18:11:17.34,-24:53:34.8,,272.82225,-24.893
MOA-2006-BLG-025,MOA-2,gb9,8,18:02:36.47,-29:23:44.8,,270.6519583333333,-29.395777777777777
MOA-2006-BLG-026,MOA-2,gb8,2,17:57:11.55,-30:48:04.4,,269.29812499999997,-30.801222222222222
MOA-2006-BLG-027,MOA-2,gb1,6,17:49:11.19,-35:04:16.8,,267.29662499999995,-35.071333333333335
MOA-2006-BLG-028,MOA-2,gb10,8,18:01:13.53,-27:34:10.8,,270.30637499999995,-27.569666666666667
MOA-2006-BLG-029,MOA-2,gb10,4,17:58:08.02,-27:49:58.5,,269.53341666666665,-27.832916666666666
MOA-2006-BLG-030,MOA-2,gb1,2,17:46:47.30,-33:47:05.0,,266.6970833333333,-33.78472222222222
MOA-2006-BLG-031,MOA-2,gb10,10,18:00:36.77,-26:44:51.6,,270.1532083333333,-26.747666666666667
MOA-2006-BLG-032,MOA-2,gb10,3,17:57:03.16,-27:27:26.9,,269.2631666666666,-27.457472222222222
MOA-2006-BLG-033,MOA-2,gb4,8,17:54:42.41,-31:03:31.8,,268.6767083333333,-31.058833333333332
MOA-2006-BLG-034,MOA-2,gb10,8,18:00:39.93,-27:36:17.6,,270.16637499999996,-27.60488888888889
MOA-2006-BLG-035,MOA-2,gb2,9,17:55:20.51,-34:17:09.2,,268.8354583333333,-34.285888888888884
MOA-2006-BLG-036,MOA-2,gb2,7,17:56:15.26,-34:51:01.7,,269.0635833333333,-34.85047222222222
MOA-2006-BLG-037,MOA-2,gb14,7,18:07:18.66,-27:47:42.4,,271.82775,-27.79511111111111
MOA-2006-BLG-038,MOA-2,gb2,1,17:53:29.52,-33:56:42.5,,268.37299999999993,-33.945138888888884
MOA-2006-BLG-039,MOA-2,gb9,8,18:02:33.39,-29:11:30.9,,270.639125,-29.191916666666668
MOA-2006-BLG-040,MOA-2,gb5,9,17:56:36.06,-28:48:03.4,,269.15024999999997,-28.800944444444447
MOA-2006-BLG-041,MOA-2,gb2,10,17:56:04.72,-33:39:18.5,,269.01966666666664,-33.655138888888885
MOA-2006-BLG-042,MOA-2,gb5,2,17:52:09.54,-28:58:53.4,,268.03974999999997,-28.981499999999997
